VENDOR,VENDOR_PRODUCT,VENDOR_SKU,CW_SKU,SKU_MATCH_KEY,MAPPING_NOTES,CONTRACT_COST_RATE,CW_RETAIL_RATE
Acronis,SPBAMSENS,SPBAMSENS,ACB-USD-M00-TASPBAMSEN,SPBAMSENS,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS,0.0545,
Acronis,SPBBMSENS,SPBBMSENS,APP-BC-SPBBMSENS,SPBBMSENS,Zuora PRODUCT_SKU maps to vendor code SPBBMSENS,0.0313,
Acronis,SPBAMSENS,SPBAMSENS,3PARTYONPREMACCLDDKT,SPBAMSENS,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS,0.0545,
Acronis,SPBAMSENS,SPBAMSENS,TASPBAMSEN,SPBAMSENS,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS,0.0545,
Acronis,SPGAMSENS,SPGAMSENS,MP-SPGAMSENS,SPGAMSENS,Zuora PRODUCT_SKU maps to vendor code SPGAMSENS,1.704,
Acronis,SPEAMSENS,SPEAMSENS,SPFAMSENS,SPEAMSENS,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS,10.3731,
Acronis,SPBAMSENS,SPBAMSENS,APP-BC-SPBAMSENS,SPBAMSENS,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS,0.0545,
Acronis,SPEAMSENS,SPEAMSENS,ACB-UKD-M00-TASPEAMSEN,SPEAMSENS,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS,10.3731,
Acronis,SQ2AMSENS,SQ2AMSENS,SQ2AMSENS,SQ2AMSENS,Zuora PRODUCT_SKU maps to vendor code SQ2AMSENS,0.0646,
Acronis,SPDAMSENS,SPDAMSENS,SPDAMSENS1GB,SPDAMSENS,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS,0.0148,
Acronis,SQ1AMSENS,SQ1AMSENS,M2M-APP-BC-SQ1AMSENS,SQ1AMSENS,Zuora PRODUCT_SKU maps to vendor code SQ1AMSENS,0.0239,
Acronis,SRHAMSENS,SRHAMSENS,APP-BC-SRHAMSENS,SRHAMSENS,Zuora PRODUCT_SKU maps to vendor code SRHAMSENS,0.7313,
Acronis,SPEAMSENS,SPEAMSENS,ACB-USD-M00-TASPEAMSEN,SPEAMSENS,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS,10.3731,
Acronis,SPD5MSENS,SPD5MSENS,ACB-USD-M00-TASPD5MSEN,SPD5MSENS,Zuora PRODUCT_SKU maps to vendor code SPD5MSENS,7.06,
Acronis,SRMAMSENS,SRMAMSENS,APP-SRMAMSENS,SRMAMSENS,Zuora PRODUCT_SKU maps to vendor code SRMAMSENS,0.6674,
Acronis,SPBAMSENS,SPBAMSENS,SPBAMSENS,SPBAMSENS,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS,0.0545,
Acronis,SPDAMSENS,SPDAMSENS,SPDAMSENSBUCLD1TB,SPDAMSENS,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS,0.0148,
Acronis,SP4BMSENS,SP4BMSENS,TBBUHYBRID,SP4BMSENS,Zuora PRODUCT_SKU maps to vendor code SP4BMSENS,0.0264,
Acronis,SRAAMSENS,SRAAMSENS,M2M-APP-BC-SRAAMSENS,SRAAMSENS,Zuora PRODUCT_SKU maps to vendor code SRAAMSENS,0.5332,
Acronis,SQ6AMSENS,SQ6AMSENS,M2M-APP-BC-SQ6AMSENS,SQ6AMSENS,Zuora PRODUCT_SKU maps to vendor code SQ6AMSENS,,
