VENDOR,VENDOR_PRODUCT,VENDOR_SKU,CW_SKU,SKU_MATCH_KEY,TRT_MATCH_KEY,CONTRACT_COST_RATE,VENDOR_UNIT_PRICE,CW_UNIT_PRICE,MAPPING_NOTES
Webroot,GSM,SAEP,3P-SAAS30020015PARNT,GSM,3P-SAAS30020015PARNT,0.52,0.52,,Manual CMS map plus live billing; CMS GSM
Webroot,GSM,SAEP,3P-SAAS30020015DESKT,GSM,3P-SAAS30020015DESKT,0.52,0.52,,Manual CMS legacy desktop SKU; retained as true CW-side historical mapping
Webroot,GSM,SAEP,3RPSAAS30020015DESKT,GSM,3RPSAAS30020015DESKT,0.52,0.52,,Manual CMS legacy desktop alias; retained as true CW-side historical mapping
Webroot,GSM,SAEP,3P-SAAS30020015SEVER,GSM,3P-SAAS30020015SEVER,0.52,0.52,,Manual CMS legacy server SKU; retained as true CW-side historical mapping
Webroot,GSM,SAEP,3RPSAAS30020015SEVER,GSM,3RPSAAS30020015SEVER,0.52,0.52,,Manual CMS legacy server alias; retained as true CW-side historical mapping
Webroot,GSM,SAEP,3P-SAAS3002300EPPRMM,GSM,3P-SAAS3002300EPPRMM,0.52,0.52,,Active catalog CMS non-RMM endpoint SKU; retained for current min-commit audit visibility
Webroot,DNS,SDNS,3P-SAAS30021010FFDNS,DNS,3P-SAAS30021010FFDNS,0.42,0.42,,Manual CMS map plus live billing; CMS DNS
Webroot,SAT,SECA,3P-SAAS30022019FFSAT,SAT,3P-SAAS30022019FFSAT,0.02,0.02,1.25,Manual CMS map plus live billing; CMS SAT
Webroot,GSM,SAEP,3P-SAAS3002315EPPRMM,GSM,3P-SAAS3002315EPPRMM,0.52,0.52,,Manual CMS legacy endpoint SKU plus live billing
Webroot,GSM,SAEP,3PARTYONPREMWRSECBEP,GSM,3PARTYONPREMWRSECBEP,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,3RDPARTYSAASIITBUEPP,GSM,3RDPARTYSAASIITBUEPP,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,OTHER_WEBROOT_TAGGED,3RDPARTYSAASIITBUMBP,3RDPARTYSAASIITBUMBP,OTHER_WEBROOT_TAGGED,3RDPARTYSAASIITBUMBP,,,,Manual CW map retains BMP as explicit unresolved product; not a direct OpenText invoice family
Webroot,GSM,SAEP,CMS-EG-CYBR-SOLP-SAAS-MDRDSKTP,GSM,CMS-EG-CYBR-SOLP-SAAS-MDRDSKTP,0.52,0.52,2.1,Manual CMS map plus live billing; CMS GSM desktop
Webroot,GSM,SAEP,CMS-EG-CYBR-SOLP-SAAS-MDRSERVR,GSM,CMS-EG-CYBR-SOLP-SAAS-MDRSERVR,0.52,0.52,2.1,Manual CMS map plus live billing; CMS GSM server
Webroot,GSM,SAEP,CMS-IH-CYBR-SOLP-SAAS-MDRDSKTP,GSM,CMS-IH-CYBR-SOLP-SAAS-MDRDSKTP,0.52,0.52,2.1,Manual CMS map plus live billing; CMS GSM desktop
Webroot,GSM,SAEP,CMS-IH-CYBR-SOLP-SAAS-MDRSERVR,GSM,CMS-IH-CYBR-SOLP-SAAS-MDRSERVR,0.52,0.52,2.1,Manual CMS map plus live billing; CMS GSM server
Webroot,GSM,SAEP,CU-WEBROOT-EPP-RMM,GSM,CU-WEBROOT-EPP-RMM,0.52,0.52,1.35,Manual CMS map plus live billing; CMS RMM endpoint
Webroot,GSM,SAEP,CW-RMM-WR-EEP-OVERAG,GSM,CW-RMM-WR-EEP-OVERAG,0.52,0.52,1.35,Manual CMS map plus live billing; CMS RMM overage
Webroot,GSM,SAEP,SEWRSBEP00,GSM,SEWRSBEP00,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM,GSM,SEWRSGSM,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM10,GSM,SEWRSGSM10,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM100,GSM,SEWRSGSM100,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM1000,GSM,SEWRSGSM1000,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM10000,GSM,SEWRSGSM10000,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM250,GSM,SEWRSGSM250,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM2500,GSM,SEWRSGSM2500,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM500,GSM,SEWRSGSM500,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM5000,GSM,SEWRSGSM5000,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,SEWRSGSM750,GSM,SEWRSGSM750,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,SAT,SECA,SEWRSSAT10,SAT,SEWRSSAT10,0.02,0.02,0.99,Manual CW map plus live billing; CW SAT
Webroot,SAT,SECA,SEWRSSAT100,SAT,SEWRSSAT100,0.02,0.02,0.82,Manual CW map plus live billing; CW SAT
Webroot,SAT,SECA,SEWRSSAT1000,SAT,SEWRSSAT1000,0.02,0.02,0.69,Manual CW map plus live billing; CW SAT
Webroot,SAT,SECA,SEWRSSAT250,SAT,SEWRSSAT250,0.02,0.02,0.79,Manual CW map plus live billing; CW SAT
Webroot,SAT,SECA,SEWRSSAT2500,SAT,SEWRSSAT2500,0.02,0.02,0.6,Manual CW map plus live billing; CW SAT
Webroot,SAT,SECA,SEWRSSAT500,SAT,SEWRSSAT500,0.02,0.02,0.77,Manual CW map plus live billing; CW SAT
Webroot,SAT,SECA,SEWRSSAT750,SAT,SEWRSSAT750,0.02,0.02,0.74,Manual CW map plus live billing; CW SAT
Webroot,GSM,SAEP,SEWSABEP,GSM,SEWSABEP,0.52,0.52,,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,WRSECGSM10,GSM,WRSECGSM10,0.52,0.52,1.69,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,WRSECGSM100,GSM,WRSECGSM100,0.52,0.52,1.57,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,WRSECGSM1000,GSM,WRSECGSM1000,0.52,0.52,1.2,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,WRSECGSM250,GSM,WRSECGSM250,0.52,0.52,1.45,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,WRSECGSM500,GSM,WRSECGSM500,0.52,0.52,1.36,Manual CW map plus live billing; CW GSM
Webroot,GSM,SAEP,WRSECGSM750,GSM,WRSECGSM750,0.52,0.52,1.25,Manual CW map plus live billing; CW GSM
Webroot,DNS,SDNS,WSADNSP,DNS,WSADNSP,0.42,0.42,,Manual CW map plus live billing; CW DNS
Webroot,DNS,SDNS,WSADNSP-STAND-ALONE,DNS,WSADNSP-STAND-ALONE,0.42,0.42,1.48,Manual CW map plus live billing; CW DNS
Webroot,DNS,SDNS,WSADNSPSTANDAL-00001,DNS,WSADNSPSTANDAL-00001,0.42,0.42,1.48,Manual CW map plus live billing; CW DNS
Webroot,DNS,SDNS,WSADNSPSTANDAL-00100,DNS,WSADNSPSTANDAL-00100,0.42,0.42,1.36,Manual CW map plus live billing; CW DNS
Webroot,DNS,SDNS,WSADNSPSTANDAL-00250,DNS,WSADNSPSTANDAL-00250,0.42,0.42,1.22,Manual CW map plus live billing; CW DNS
Webroot,DNS,SDNS,WSADNSPSTANDAL-00500,DNS,WSADNSPSTANDAL-00500,0.42,0.42,1.1,Manual CW map plus live billing; CW DNS
Webroot,DNS,SDNS,WSADNSPSTANDAL-02500,DNS,WSADNSPSTANDAL-02500,0.42,0.42,0.91,Manual CW map plus live billing; CW DNS
Webroot,DNS,SDNS,WSADNSPSTANDALONEIIT,DNS,WSADNSPSTANDALONEIIT,0.42,0.42,,Manual CW map plus live billing; CW DNS
