VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,Uniag Cooperative,,ACT-00275259,29743,
Acronis,Advanced Systems,,ACT-00195588,21135,
Acronis,TEKSCAPE INC,,ACT-00239923,27114,
Acronis,"Innovative Network, Inc.",,ACT-00067989,,
Acronis,COMHOME Network Solutions,,ACT-00023310,20886,
Acronis,"JDI Technology Group, Inc.",,ACT-00110882,22929,
Acronis,CSI,,ACT-00141389,3242,
Acronis,National Oak Distributors,,ACT-00110200,-,
Acronis,"Mtc, Inc",,ACT-00121014,,
Acronis,SHARKTOOTH NETWORKS INC,,ACT-00153605,32232,
Acronis,Professional Computer Support,,ACT-00214616,20355,
Acronis,Empower Information Systems,,ACT-00118784,7464,
Acronis,Trimble Networks Pty Ltd,,ACT-00171731,28502,
Acronis,Leading Technology Europe Ltd,,ACT-00061762,25104,
Acronis,Computer Engineering Group,,ACT-00118539,26011,
Acronis,The Cloud Platform,,ACT-00208415,500001012,
Acronis,HCITSP,,ACT-00288784,26714,
Acronis,Homeport Electronics,ingram Micro,ACT-00240097,,
Acronis,Associated Time & Parking Controls,,ACT-00113763,-,
Acronis,Technical drive limited,,ACT-00243291,500000182,
Acronis,Community Action Partnership Huntsville / Madison,,ACT-00142478,-,
Acronis,Pivit Strategy,,ACT-00265570,24559,
Acronis,Carmichael Consulting Solutions,,ACT-00069316,27582,
Acronis,Pure Technology /1,Ingram Micro,ACT-00151751,24338,
Acronis,"Bourgtech, LLC",,ACT-00244896,,"Bourgtech, LLC"
Acronis,Wired! Technology Partners,,ACT-00153502,26934,
Acronis,The Learning Exchange,"Harmonity Technologies, LLC",ACT-00239688,,
Acronis,MCS,,ACT-00151729,21528,
Acronis,OneCom Ltd,,ACT-00224155,24180,
Acronis,Advanced Computer Electronics Inc,,ACT-00195588,,Advanced Systems
Acronis,RAD Group,,ACT-00048901,500000723,
Acronis,Network & Security,,ACT-00083687,24571,
Acronis,Lifeline Technology Solutions,,ACT-00118026,23327,
Acronis,E2E Technology Solutions,,ACT-00148004,23977,
Acronis,Computer FX,,ACT-00160507,28731,
Acronis,Keystone,,ACT-00048610,22697,
Acronis,Dialysis Care Center,,ACT-00149113,27680,
Acronis,Bebaios Solutions LLC,,ACT-00067963,27277,
Acronis,"Innovative Network, Inc.",,ACT-00067989,-,
Acronis,Cattle Tech Inc,,ACT-00269251,24866,
Acronis,Andrews & Associates IT Solutions,,ACT-00209069,21378,
Acronis,ProCom,,ACT-00336855,,ProCom
Acronis,Abbey Telecom,,ACT-00075562,500000353,
Acronis,Resolution IT,,ACT-00225101,16567,
Acronis,F8 Tech LLC,,ACT-00153596,26523,
Acronis,Vermeer Heartland,,ACT-00239679,,
Acronis,"CMIT Solutions of Oak Park, Hinsdale and Oak Brook - 887,107",,ACT-00240756,17443,
Acronis,Pro4ia,,ACT-00203148,18515,
Acronis,Turner Teleco Alexandria,,ACT-00012919,7913,
Acronis,Aktiebolaget XREF Stockholm,,ACT-00004104,,
Acronis,Total Group International Ltd.,,ACT-00149039,16023,
Acronis,"Cook Consulting & Services, LLC",,ACT-00238296,30978,
Acronis,Rockford IT,,ACT-00083874,25890,
Acronis,Athens Micro,,ACT-00123913,21169,
Acronis,Digidogtech,,ACT-00188658,500000205,
Acronis,SR Technologies,,ACT-00268951,29810,
Acronis,Blue Line Technologies,,ACT-00077736,2370,
Acronis,"AZComp Technologies, Inc",,ACT-00210127,32593,
Acronis,Serit Ostereng IT,,ACT-00238000,500000766,
Acronis,InfoTech Maine LLC,,ACT-00196195,25275,
