PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Dental Health Associates of Madison,,ACT-00249362,29667,Dental Health Associates of Madison
Descent IT,,ACT-00268852,26533,Descent Inc
"Direct Companies, LLC",,ACT-00151759,24700,"Direct Companies, LLC"
DP Solutions,,ACT-00157421,23999,DP Solutions
"DSM Technology Consultants, LLC",,ACT-00231867,25394,"DSM Technology Consultants, LLC"
DTC,,ACT-00216351,18186,Digital Telecommunications Corporation dba DTC
EAG 1Source,,ACT-00091246,19728,EAG 1Source
Eagle Consulting Group LLC,,ACT-00009498,28350,"Eagle Consulting Group, LLC"
Eanyware,,ACT-00000312,4840,eAnyWare Solutions Corp
Easyitguys,,ACT-00144880,21197,EasyITGuys
EC Managed IT,,ACT-00249561,20909,EC Managed IT
"Eclipse Networks, Inc",,ACT-00049547,19919,"Eclipse Networks, Inc."
"Edit Technology Solutions, Inc.",,ACT-00140075,23132,"Edit Technology Solutions, Inc."
Ekaru,,ACT-00040023,267,Ekaru
"Electronic Strategies, Inc.",,ACT-00246663,21424,"Electronic Strategies, Inc."
eMazzanti Technologies,,ACT-00095630,416,eMazzanti Technologies
Empire Consultants,,ACT-00169196,25663,"Empire Consultants, Inc"
Empower Information Systems,,ACT-00118784,7464,Empower Information Systems
Enso Solutions,,ACT-00249019,21064,Enso Solutions
ENT Networks,,ACT-00204987,17367,ENT Networks Inc
"WDCS, Inc.",,ACT-00188908,,
m3 Networks Limited,,ACT-00192321,23310,
LifeBrite Hosptial Group,,ACT-00183759,,
The Ulven Companies,,ACT-00099271,,
"Magna5 MS, LLC",,ACT-00118650,32122,
FrontierMSP,,ACT-00115244,23439,
Dialysis Care Center,,ACT-00149113,27680,
"Utmostit, Inc",,ACT-00020413,27477,
Blueshift Computer Technology,,ACT-00148870,30033,
GTech Data LLC,,ACT-00135117,20575,
Keystone,,ACT-00048610,22697,
Zenzero Solutions Ltd,,ACT-00020131,24187,
Community Technology Consultants LLC,,ACT-00187177,28933,
NCS Network Consulting,,ACT-00236939,26019,
"Gray Wolf Information Technologies, Inc.",,ACT-00046473,,
Red Mosquito Ltd,,ACT-00170291,25309,
"IT by Design, Inc.",,ACT-00134257,25999,
Resonant Technology Partners LLC,,ACT-00171734,,
Decision Logic,,ACT-00175613,9481,
Sanchez Management Corp,,ACT-00270835,31201,
Launch IT,,ACT-00139826,24548,
Noah Morrison,,ACT-00103409,33960,
Lifeline Technology Solutions,,ACT-00118026,23327,
