BILLING_MONTH,Entity,Tenant name,Identifier,Type,Status,Mode,Service name,Edition,Metric name,Location,Metric unit,Quota,Production usage,Change in production usage,Trial usage,Change in trial usage,Total usage,Change in total usage,Price,Cost,Billing model,Storage type,Pricing tier ID,SKU
2026-05-01,AUS_DEV,SIAX COMPUTING SOLUTIONS,,Partner,Enabled,,Cyber Protection,Per workload,Workstations protected,,,Unlimited,26,0,0,0,26,0,N/A,N/A,,,,SPGAMSENS
2026-05-01,AUS_DEV,SIAX COMPUTING SOLUTIONS,,Partner,Enabled,,Cyber Protection,Per workload,Servers protected,,,Unlimited,1,0,0,0,1,0,N/A,N/A,,,,SPEAMSENS
2026-05-01,AUS_DEV,SIAX COMPUTING SOLUTIONS,,Partner,Enabled,,Cyber Protection,Per workload,VMs protected,,,Unlimited,103,2,0,0,103,2,N/A,N/A,,,,SPFAMSENS
2026-05-01,AUS_DEV,SIAX COMPUTING SOLUTIONS,,Partner,Enabled,,Sync & Share,File Sync & Share (per user),Users,,,Unlimited,2,1,0,0,2,1,N/A,N/A,,,,SPIAMSENS
2026-05-01,AUS_DEV,SIAX COMPUTING SOLUTIONS,,Partner,Enabled,,Cyber Protection,Per workload,Endpoints protected with EDR,,,Unlimited,3,0,0,0,3,0,N/A,N/A,,,,SRIAMSENS
2026-05-01,AUS_DEV,SIAX COMPUTING SOLUTIONS,,Partner,Enabled,,Cyber Protection,Per workload,Cloud Storage (abgw-syd1-acs2.acronis.com) used - Class 2,Acronis Cloud,GB,Unlimited,56967.98,2590.96,0.00,0.00,56967.98,2590.96,N/A,N/A,,acronis,,SPDAMSENS
2026-05-01,AUS_DEV,SIAX COMPUTING SOLUTIONS,,Partner,Enabled,,Cyber Protection,Per workload,Microsoft 365 Seats protected (Acronis Storage G1),Acronis Cloud,,Unlimited,0,-6,0,0,0,-6,N/A,N/A,,acronis,,SRJAMSENS
2026-05-01,AUS_DEV,SIAX COMPUTING SOLUTIONS,,Partner,Enabled,,Cyber Protection,Per workload,Microsoft 365 Shared seats protected,,,Unlimited,0,-2,0,0,0,-2,N/A,N/A,,,,SPDCMSENS
2026-05-01,AUS_DEV,Williams Technology Pty Ltd,,Partner,Enabled,,Cyber Protection,Per workload,Servers protected,,,Unlimited,9,0,0,0,9,0,N/A,N/A,,,,SPEAMSENS
2026-05-01,AUS_DEV,Williams Technology Pty Ltd,,Partner,Enabled,,Cyber Protection,Per workload,VMs protected,,,Unlimited,52,-1,0,0,52,-1,N/A,N/A,,,,SPFAMSENS
2026-05-01,AUS_DEV,Williams Technology Pty Ltd,,Partner,Enabled,,Cyber Protection,Per workload,Web Hosting Servers protected,,,1,1,0,0,0,1,0,N/A,N/A,,,,SQ7AMSENS
2026-05-01,AUS_DEV,NEO TECHNOLOGIES CONSULTING PTY LTD,,Partner,Enabled,,Cyber Protection,Per workload,Workstations protected,,,Unlimited,0,-1,0,0,0,-1,N/A,N/A,,,,SPGAMSENS
2026-05-01,AUS_DEV,NEO TECHNOLOGIES CONSULTING PTY LTD,,Partner,Enabled,,Cyber Protection,Per workload,Servers protected,,,Unlimited,0,-8,0,0,0,-8,N/A,N/A,,,,SPEAMSENS
2026-05-01,AUS_DEV,NEO TECHNOLOGIES CONSULTING PTY LTD,,Partner,Enabled,,Sync & Share,File Sync & Share (per user),Users,,,Unlimited,0,-7,0,0,0,-7,N/A,N/A,,,,SPIAMSENS
2026-05-01,AUS_DEV,NEO TECHNOLOGIES CONSULTING PTY LTD,,Partner,Enabled,,Cyber Protection,Per workload,Cloud Storage (abgw-syd1-acs2.acronis.com) used - Class 2,Acronis Cloud,GB,Unlimited,0.00,-10375.09,0.00,0.00,0.00,-10375.09,N/A,N/A,,acronis,,SPDAMSENS
2026-05-01,AUS_DEV,NEO TECHNOLOGIES CONSULTING PTY LTD,,Partner,Enabled,,Cyber Protection,Per workload,Microsoft 365 Seats protected (Acronis Storage G1),Acronis Cloud,,Unlimited,0,-79,0,0,0,-79,N/A,N/A,,acronis,,SRJAMSENS
2026-05-01,AUS_DEV,NEO TECHNOLOGIES CONSULTING PTY LTD,,Partner,Enabled,,Cyber Protection,Per workload,Microsoft 365 Shared seats protected,,,Unlimited,0,-17,0,0,0,-17,N/A,N/A,,,,SPDCMSENS
2026-05-01,AUS_DEV,Tech4Biz,,Partner,Enabled,,Cyber Protection,Per workload,Workstations protected,,,Unlimited,269,2,0,-2,269,0,N/A,N/A,,,,SPGAMSENS
