BILLING_MONTH,Entity,row_count,sku_rows,distinct_tenants
2026-01-01,AUS_DEV,71,71,12
2026-01-01,AUS_GIG,10,10,3
2026-01-01,CAN_DEV,68,68,17
2026-01-01,EU2_DEV,7,7,1
2026-01-01,UK_DEV,383,383,50
2026-01-01,UK_GIG,101,101,19
2026-01-01,US2_DEV,110,110,31
2026-01-01,US2_GIG,113,113,47
2026-01-01,US5_DEV,349,349,39
2026-01-01,US5_GIG,35,35,7
2026-01-01,US_Master,1418,1418,288
2026-02-01,AUS_DEV,80,80,12
2026-02-01,AUS_GIG,10,10,3
2026-02-01,CAN_DEV,65,65,18
2026-02-01,EU2_DEV,7,7,1
2026-02-01,UK_DEV,383,383,50
2026-02-01,UK_GIG,104,104,19
2026-02-01,US2_DEV,107,107,30
2026-02-01,US2_GIG,113,113,46
2026-02-01,US5_DEV,348,348,40
2026-02-01,US5_GIG,30,30,6
2026-02-01,US_Master,1392,1392,281
2026-03-01,AUS_DEV,77,77,12
2026-03-01,AUS_GIG,11,11,3
2026-03-01,CAN_DEV,25,25,9
2026-03-01,CAN_GIG,41,41,8
2026-03-01,EU1_GIG,3,3,2
2026-03-01,EU2_DEV,7,7,1
2026-03-01,EU8_Master,45,45,5
2026-03-01,NZ_Master,2,2,1
2026-03-01,SG1_GIG,3,3,1
2026-03-01,UK_DEV,389,389,50
2026-03-01,UK_GIG,106,106,19
2026-03-01,US2_DEV,106,106,30
2026-03-01,US2_GIG,109,109,43
2026-03-01,US5_DEV,337,337,40
2026-03-01,US5_GIG,20,20,5
2026-03-01,US_Master,1365,1365,277
2026-04-01,AUS_DEV,77,77,12
2026-04-01,AUS_GIG,11,11,3
2026-04-01,CAN_DEV,64,64,17
2026-04-01,EU1_GIG,3,3,2
2026-04-01,EU2_DEV,7,7,1
2026-04-01,EU8_Master,42,42,4
2026-04-01,SG1_GIG,3,3,1
2026-04-01,UK_DEV,381,381,47
2026-04-01,UK_GIG,107,107,19
2026-04-01,US2_DEV,93,93,28
2026-04-01,US2_GIG,109,109,43
2026-04-01,US5_DEV,340,340,40
2026-04-01,US5_GIG,16,16,4
2026-04-01,US_Master,1344,1344,270
2026-05-01,AUS_DEV,78,78,12
2026-05-01,AUS_GIG,11,11,3
2026-05-01,CAN_DEV,58,58,13
2026-05-01,EU1_GIG,3,3,2
2026-05-01,EU2_DEV,7,7,1
2026-05-01,EU8_Master,42,42,4
2026-05-01,SG1_GIG,3,3,1
2026-05-01,UK_DEV,368,368,44
2026-05-01,UK_GIG,108,108,19
2026-05-01,US2_DEV,73,73,17
2026-05-01,US2_GIG,93,93,32
2026-05-01,US5_DEV,333,333,39
2026-05-01,US5_GIG,13,13,3
2026-05-01,US_Master,1281,1281,255
2026-06-01,AUS_DEV,69,69,11
2026-06-01,AUS_GIG,11,11,3
2026-06-01,CAN_DEV,57,57,14
2026-06-01,EU1_GIG,3,3,2
2026-06-01,EU2_DEV,7,7,1
2026-06-01,EU8_Master,43,43,4
2026-06-01,UK_DEV,358,358,43
2026-06-01,UK_GIG,106,106,19
2026-06-01,US2_DEV,65,65,16
2026-06-01,US2_GIG,88,88,32
2026-06-01,US5_DEV,349,349,40
2026-06-01,US5_GIG,13,13,3
2026-06-01,US_Master,1245,1245,251
2026-07-01,AUS_DEV,86,86,13
2026-07-01,AUS_GIG,13,13,3
2026-07-01,CAN_DEV,62,62,15
2026-07-01,EU1_GIG,2,2,1
2026-07-01,EU2_DEV,7,7,1
2026-07-01,EU8_Master,41,41,4
2026-07-01,SG1_GIG,3,3,1
2026-07-01,UK_DEV,362,362,43
2026-07-01,UK_GIG,101,101,18
2026-07-01,US2_DEV,64,64,16
2026-07-01,US2_GIG,88,88,32
2026-07-01,US5_DEV,325,325,38
2026-07-01,US5_GIG,6,6,2
2026-07-01,US_Master,1225,1225,247
