BILLING_MONTH,VENDOR,VENDOR_PARTNER_NAME,VENDOR_PRODUCT_SKU,MODIFIER,QUANTITY,UNIT_PRICE,AMOUNT,CURRENCY
2026-05-01,Acronis,"1 Up Tech, LLC",SP4BMSENS,US_Master,991.07,0.0264,26.164248,USD
2026-05-01,Acronis,"1 Up Tech, LLC",SPBAMSENS,US_Master,2408.42,0.0545,131.25888999999998,USD
2026-05-01,Acronis,"1 Up Tech, LLC",SVEAMSENS,US_Master,1009.33,0.0272,27.453776,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPBAMSENS,UK_GIG,1157.77,0.0545,63.098465,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPD5MSENS,UK_GIG,1.0,7.0576,7.0576,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPDAMSENS,UK_GIG,10672.91,0.0148,157.959068,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPDCMSENS,UK_GIG,36.0,,0.0,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPEAMSENS,UK_GIG,4.0,10.3731,41.4924,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPFAMSENS,UK_GIG,17.0,3.6565,62.1605,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPGAMSENS,UK_GIG,4.0,1.704,6.816,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPIAMSENS,UK_GIG,2.0,0.6319,1.2638,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SRJAMSENS,UK_GIG,195.0,1.1502,224.289,USD
2026-05-01,Acronis,1 ZERO 1 Comp Sols Ltd,SRMAMSENS,UK_GIG,16.0,0.6674,10.6784,USD
2026-05-01,Acronis,A Tech 4 U,SP4BMSENS,US_Master,82.12,0.0264,2.167968,USD
2026-05-01,Acronis,A Tech 4 U,SPBAMSENS,US_Master,37898.509999999995,0.0545,2065.468795,USD
2026-05-01,Acronis,A Tech 4 U,SPDAMSENS,US_Master,376.5,0.0148,5.5722000000000005,USD
2026-05-01,Acronis,A Tech 4 U,SPGAMSENS,US_Master,2.0,1.704,3.408,USD
2026-05-01,Acronis,A Tech 4 U,SRHAMSENS,US_Master,2.0,0.7313,1.4626,USD
2026-05-01,Acronis,A Tech 4 U,SRIAMSENS,US_Master,8.0,0.1725,1.38,USD
2026-05-01,Acronis,A Tech 4 U,SVEAMSENS,US_Master,77.02,0.0272,2.094944,USD
2026-05-01,Acronis,ABtec Computer Solutions Ltd,SPBAMSENS,UK_GIG,726.18,0.0545,39.576809999999995,USD
2026-05-01,Acronis,ACT Enviro,SPBAMSENS,US2_GIG,36017.92,0.0545,1962.9766399999999,USD
2026-05-01,Acronis,ACT Enviro,SRIAMSENS,US2_GIG,1.0,0.1725,0.1725,USD
2026-05-01,Acronis,ADECS-Maple,SPD5MSENS,UK_GIG,0.0,7.0576,0.0,USD
2026-05-01,Acronis,ADECS-Maple,SPDAMSENS,UK_GIG,80021.44,0.0148,1184.3173120000001,USD
