BILLING_MONTH,VENDOR,VENDOR_PARTNER_NAME,VENDOR_PRODUCT_SKU,MODIFIER,QUANTITY,UNIT_PRICE,AMOUNT,CURRENCY
2026-01-01,Acronis,"1 Up Tech, LLC",SP4BMSENS,US_Master,1153.46,0.0264,30.451344000000002,USD
2026-01-01,Acronis,"1 Up Tech, LLC",SPBAMSENS,US_Master,2917.56,0.0545,159.00702,USD
2026-01-01,Acronis,"1 Up Tech, LLC",SRIAMSENS,US_Master,2.0,0.1725,0.345,USD
2026-01-01,Acronis,"1 Up Tech, LLC",SVEAMSENS,US_Master,993.52,0.0272,27.023743999999997,USD
2026-01-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPBAMSENS,UK_GIG,1249.87,0.0545,68.117915,USD
2026-01-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPD5MSENS,UK_GIG,1.0,7.0571,7.0571,USD
2026-01-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPDAMSENS,UK_GIG,7232.369999999999,0.0148,107.039076,USD
2026-01-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPDCMSENS,UK_GIG,43.0,,0.0,USD
2026-01-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPEAMSENS,UK_GIG,4.0,10.3731,41.4924,USD
2026-01-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPFAMSENS,UK_GIG,10.0,3.6565,36.565,USD
2026-01-01,Acronis,1 ZERO 1 Comp Sols Ltd,SPGAMSENS,UK_GIG,3.0,1.704,5.112,USD
2026-01-01,Acronis,1 ZERO 1 Comp Sols Ltd,SRIAMSENS,UK_GIG,1.0,0.1725,0.1725,USD
2026-01-01,Acronis,1 ZERO 1 Comp Sols Ltd,SRJAMSENS,UK_GIG,168.0,1.1502,193.23359999999997,USD
2026-01-01,Acronis,2C SERVICES LIMITED,SPDAMSENS,UK_DEV,1449.2,0.0148,21.44816,USD
2026-01-01,Acronis,A Tech 4 U,SP4BMSENS,US_Master,82.12,0.0264,2.167968,USD
2026-01-01,Acronis,A Tech 4 U,SPBAMSENS,US_Master,37307.82,0.0545,2033.27619,USD
2026-01-01,Acronis,A Tech 4 U,SRHAMSENS,US_Master,2.0,0.7313,1.4626,USD
2026-01-01,Acronis,A Tech 4 U,SRIAMSENS,US_Master,15.0,0.1725,2.5875,USD
2026-01-01,Acronis,A Tech 4 U,SVEAMSENS,US_Master,77.02,0.0272,2.094944,USD
2026-01-01,Acronis,"A2Z Computer Services, Inc.",SP4BMSENS,US2_GIG,551.59,0.0264,14.561976000000001,USD
2026-01-01,Acronis,"A2Z Computer Services, Inc.",SPBAMSENS,US2_GIG,2504.15,0.0545,136.476175,USD
2026-01-01,Acronis,ABtec Computer Solutions Ltd,SPBAMSENS,UK_GIG,829.89,0.0545,45.229005,USD
2026-01-01,Acronis,ACT Enviro,SPBAMSENS,US2_GIG,36523.33,0.0545,1990.521485,USD
2026-01-01,Acronis,ACT Enviro,SRIAMSENS,US2_GIG,1.0,0.1725,0.1725,USD
2026-01-01,Acronis,ADECS-Maple,SPD5MSENS,UK_GIG,1.0,7.0571,7.0571,USD
2026-01-01,Acronis,ADECS-Maple,SPDAMSENS,UK_GIG,86395.45,0.0148,1278.65266,USD
2026-01-01,Acronis,ADECS-Maple,SPDCMSENS,UK_GIG,423.0,,0.0,USD
2026-01-01,Acronis,ADECS-Maple,SPEAMSENS,UK_GIG,17.0,10.3731,176.3427,USD
2026-01-01,Acronis,ADECS-Maple,SPFAMSENS,UK_GIG,48.0,3.6565,175.512,USD
2026-01-01,Acronis,ADECS-Maple,SPGAMSENS,UK_GIG,19.0,1.704,32.376,USD
2026-01-01,Acronis,ADECS-Maple,SRJAMSENS,UK_GIG,599.0,1.1502,688.9698,USD
2026-01-01,Acronis,AMEOT,SPDAMSENS,US_Master,1288.42,0.0148,19.068616000000002,USD
2026-01-01,Acronis,AMS Retail Solutions,SP4BMSENS,US2_GIG,3312.77,0.0264,87.457128,USD
2026-01-01,Acronis,AMS Retail Solutions,SPBAMSENS,US2_GIG,3124.87,0.0545,170.305415,USD
2026-01-01,Acronis,AMS Retail Solutions,SRIAMSENS,US2_GIG,1.0,0.1725,0.1725,USD
2026-01-01,Acronis,ARGO-TECH Solutions Inc.,SPDAMSENS,US_Master,6415.89,0.0148,94.955172,USD
2026-01-01,Acronis,ARGO-TECH Solutions Inc.,SPEAMSENS,US_Master,3.0,10.3731,31.119300000000003,USD
2026-01-01,Acronis,"AZComp Technologies, Inc",SPBAMSENS,US2_GIG,1601.08,0.0545,87.25886,USD
2026-01-01,Acronis,Abbey Telecom,SP4BMSENS,UK_GIG,110.82,0.0264,2.925648,USD
2026-01-01,Acronis,Abbey Telecom,SPBAMSENS,UK_GIG,20862.76,0.0545,1137.0204199999998,USD
2026-01-01,Acronis,Abbey Telecom,SPDAMSENS,UK_GIG,281.2,0.0148,4.16176,USD
2026-01-01,Acronis,Abbey Telecom,SPFAMSENS,UK_GIG,1.0,3.6565,3.6565,USD
2026-01-01,Acronis,Abbey Telecom,SPIAMSENS,UK_GIG,2.0,0.6319,1.2638,USD
2026-01-01,Acronis,Achronix Semiconductor Corp,SP4BMSENS,US_Master,0.02,0.0264,0.000528,USD
2026-01-01,Acronis,Achronix Semiconductor Corp,SPBAMSENS,US_Master,1793.45,0.0545,97.743025,USD
2026-01-01,Acronis,Achronix Semiconductor Corp,SVEAMSENS,US_Master,125.19,0.0272,3.4051679999999998,USD
2026-01-01,Acronis,Acuity Network Services,SPDAMSENS,US_Master,17165.6,0.0148,254.05087999999998,USD
