BILLING_MONTH,VENDOR,VENDOR_PARTNER_NAME,VENDOR_PRODUCT_SKU,MODIFIER,QUANTITY,UNIT_PRICE,AMOUNT,CURRENCY
2026-01-01,Auvik,2W Technologies inc,EPRM-ANM-100 Auvik Essentials -- Committed,CW,129.0,7.0,903.0,USD
2026-01-01,Auvik,2W Technologies inc,EPRM-ANM-100 Auvik Essentials -- Overage,CW,90.0,7.0,630.0,USD
2026-01-01,Auvik,2W Technologies inc,PARM-ANM-100 Auvik Performance Add On,CW,129.0,4.55,586.95,USD
2026-01-01,Auvik,2W Technologies inc,PARM-ANM-100 Auvik Performance Add On -- Overage,CW,59.0,4.55,268.45,USD
2026-01-01,Auvik,4Wall Entertainment,Billable Devices,CW,40.0,8.75,350.0,USD
2026-01-01,Auvik,4Wall Entertainment,Billable Devices - Additional,CW,0.0,0.0,0.0,USD
2026-01-01,Auvik,4Wall Entertainment,RM - ASM - 1000 - Committed,CW,1000.0,0.57,570.0,USD
2026-01-01,Auvik,4Wall Entertainment,RM - ASM - 1000 - Overage,CW,68.0,0.57,38.76,USD
2026-01-01,Auvik,4Wall Entertainment,Usage - Billable Devices,CW,27.0,8.75,236.25,USD
2026-01-01,Auvik,ABS Information Systems Inc,COANM-1 Additional Billable Devices,CMS,43.0,9.19,395.17,USD
2026-01-01,Auvik,ABS Information Systems Inc,COANM-1 Committed Billable Devices,CMS,40.0,9.19,367.6,USD
2026-01-01,Auvik,ADNET Technologies,EPRM-ANM-250 Auvik Essentials -- Committed,CMS,250.0,5.88,1470.0,USD
2026-01-01,Auvik,ADNET Technologies,EPRM-ANM-250 Auvik Essentials -- Overage,CMS,100.0,5.88,588.0,USD
2026-01-01,Auvik,ADNET Technologies,PARM-ANM-250 Auvik Performance Add On -- Overage,CMS,15.0,3.5,52.5,USD
2026-01-01,Auvik,ALLSTAR Partners LLC,EPRM-ANM-100 Auvik Essentials -- Committed,CMS,100.0,7.35,735.0,USD
2026-01-01,Auvik,ALLSTAR Partners LLC,EPRM-ANM-100 Auvik Essentials -- Overage,CMS,53.0,7.35,389.55,USD
2026-01-01,Auvik,ALLSTAR Partners LLC,PARM-ANM-100 Auvik Performance Add On -- Overage,CMS,153.0,4.78,731.34,USD
2026-01-01,Auvik,AMSYS,EPRM-ANM-250 Auvik Essentials -- Committed,CW,353.0,6.4,2259.2,USD
2026-01-01,Auvik,AMSYS,EPRM-ANM-250 Auvik Essentials -- Overage,CW,200.0,6.4,1280.0,USD
2026-01-01,Auvik,ATG,Licenses,CMS,10.0,10.5,105.0,USD
2026-01-01,Auvik,Abadata Computer Corporation,COANM-1 Committed Billable Devices,CMS,40.0,9.19,367.6,USD
2026-01-01,Auvik,Abadata Computer Corporation,COANM-2 Additional Billable Devices,CMS,0.0,9.19,0.0,USD
2026-01-01,Auvik,Accessium Group,EPRM-ANM-750 Auvik Essentials -- Committed,CW,826.0,4.76,3931.76,USD
2026-01-01,Auvik,Accessium Group,EPRM-ANM-750 Auvik Essentials -- Overage,CW,325.0,4.76,1547.0,USD
2026-01-01,Auvik,Accessium Group,PARM-ANM-750 Auvik Performance Add On,CW,670.0,2.77,1855.9,USD
2026-01-01,Auvik,Accessium Group,PARM-ANM-750 Auvik Performance Add On -- Overage,CW,388.0,2.77,1074.76,USD
2026-01-01,Auvik,"Advanced Office Systems, Inc.",Billable Devices,CW,105.0,6.67,700.0,USD
2026-01-01,Auvik,"Advanced Office Systems, Inc.",Usage - Billable Devices,CW,0.0,7.0,0.0,USD
2026-01-01,Auvik,AdventOne,ANM Essentials,CW,172.0,7.35,1264.2,USD
2026-01-01,Auvik,AdventOne,ANM Performance Add-Ons,CW,100.0,4.76,476.0,USD
2026-01-01,Auvik,AdventOne,ANM Performance Add-on,CW,61.0,4.76,290.36,USD
2026-01-01,Auvik,Affinity IT Group,COANM-1 Committed Billable Devices,CMS,40.0,9.19,367.6,USD
2026-01-01,Auvik,Affinity IT Group,COANM-2 Additional Billable Devices,CMS,2.0,9.19,18.38,USD
2026-01-01,Auvik,AiroSpark,CWANM-1 Additional Billable Devices,CW,0.0,7.81,0.0,USD
2026-01-01,Auvik,AiroSpark,CWANM-1 Committed Billable Devices,CW,50.0,7.81,390.5,USD
2026-01-01,Auvik,AiroSpark,CWANM-1 Committed Performance Add-Ons,CW,50.0,3.0,150.0,USD
2026-01-01,Auvik,All Lines Technology,ERM-ANM-250 Auvik Essentials -- Committed,CW,300.0,5.6,1680.0,USD
2026-01-01,Auvik,All Lines Technology,ERM-ANM-250 Auvik Essentials -- Overage,CW,0.0,5.6,0.0,USD
2026-01-01,Auvik,All Net Connections,ERM-ANM-100 Auvik Essentials -- Committed,CW,164.0,7.0,1148.0,USD
2026-01-01,Auvik,All Net Connections,ERM-ANM-100 Auvik Essentials -- Overage,CW,0.0,7.0,0.0,USD
2026-01-01,Auvik,Allegiant Networks,CWANM-2 Additional Billable Devices,CW,170.0,7.35,1249.5,USD
2026-01-01,Auvik,Allegiant Networks,CWANM-2 Committed Billable Devices,CW,100.0,7.35,735.0,USD
2026-01-01,Auvik,Alliance IT,EPRM-ANM-10 Auvik Essentials -- Committed,CW,16.0,12.0,191.98,USD
2026-01-01,Auvik,Alliance IT,EPRM-ANM-10 Auvik Essentials -- Overage,CW,0.0,12.0,0.0,USD
2026-01-01,Auvik,Alliance IT,PARM-ANM-10 Auvik Performance Add On,CW,16.0,8.0,128.02,USD
2026-01-01,Auvik,Alliance IT,PARM-ANM-10 Auvik Performance Add On -- Overage,CW,0.0,8.0,0.0,USD
2026-01-01,Auvik,Alliance Tech Partners,EPRM-ANM-40 Auvik Essentials -- Committed,CW,44.0,9.19,404.36,USD
2026-01-01,Auvik,Alliance Tech Partners,EPRM-ANM-40 Auvik Essentials -- Overage,CW,0.0,9.19,0.0,USD
2026-01-01,Auvik,Alliance Tech Partners,PARM-ANM-40 Auvik Performance Add On,CW,20.0,6.25,125.0,USD
2026-01-01,Auvik,Allied Business Solutions,EPRM-ANM-100 Auvik Essentials -- Committed,CMS,118.0,8.4,991.2,USD
2026-01-01,Auvik,Allied Business Solutions,EPRM-ANM-100 Auvik Essentials -- Overage,CMS,0.0,8.4,0.0,USD
2026-01-01,Auvik,Allied Business Solutions,PARM-ANM-100 Auvik Performance Add On,CMS,10.0,5.46,54.6,USD
2026-01-01,Auvik,Allied Business Solutions,PARM-ANM-100 Auvik Performance Add On -- Overage,CMS,59.0,5.46,322.14,USD
2026-01-01,Auvik,American First National Bank,ERM-ANM-10 Auvik Essentials -- Committed,CW,27.0,10.5,283.5,USD
2026-01-01,Auvik,American First National Bank,ERM-ANM-10 Auvik Essentials -- Overage,CW,1.0,10.5,10.5,USD
2026-01-01,Auvik,Apex Infinite Solutions,EPRM-ANM-250 Auvik Essentials -- Committed,CW,316.0,5.6,1769.6,USD
2026-01-01,Auvik,Apex Infinite Solutions,EPRM-ANM-250 Auvik Essentials -- Overage,CW,0.0,5.6,0.0,USD
2026-01-01,Auvik,Apex Technology Corporation,CWANM-4 Additional Billable Devices,CW,105.0,5.6,588.0,USD
2026-01-01,Auvik,Apex Technology Corporation,CWANM-4 Committed Billable Devices,CW,361.0,5.6,2021.6,USD
2026-01-01,Auvik,Associated Computer Systems,EPRM-ANM-1000 Auvik Essentials -- Committed,CMS,1700.0,4.41,7497.0,USD
2026-01-01,Auvik,Associated Computer Systems,EPRM-ANM-1000 Auvik Essentials -- Overage,CMS,0.0,4.41,0.0,USD
2026-01-01,Auvik,Associated Computer Systems,PARM-ANM-1000 Auvik Performance Add On -- Overage,CMS,41.0,2.39,97.99,USD
2026-01-01,Auvik,Associated Computer Systems,RM - ASM - 500 - Committed,CMS,500.0,0.91,455.0,USD
2026-01-01,Auvik,Associated Computer Systems,RM - ASM - 500 - Overage,CMS,0.0,0.91,0.0,USD
2026-01-01,Auvik,Atlantic-IT.net,Licenses,CMS,69.0,8.75,603.75,USD
2026-01-01,Auvik,Atlantic-IT.net,Licenses,CMS,10.0,12.0,120.0,USD
2026-01-01,Auvik,Atlantic-IT.net,Usage - Licenses,CMS,35.0,8.75,306.25,USD
2026-01-01,Auvik,Atlantic-IT.net,Usage - Licenses,CMS,0.0,12.0,0.0,USD
