billing_month,source_family,source_file,source_sheet,rows,reason
2026-01-01,MAIN,Connectwise-Jan26 Summary.xlsx,dk-co,352,accepted
2026-01-01,MAIN,Connectwise-Jan26 Summary.xlsx,au-sy,351,accepted
2026-01-01,MAIN,Connectwise-Jan26 Summary.xlsx,us-dc,4630,accepted
2026-01-01,MAIN,Connectwise-Jan26 Summary.xlsx,ca-tr,959,accepted
2026-01-01,MAIN,Connectwise-Jan26 Summary.xlsx,uk-ld,1034,accepted
2026-01-01,PROMO,Takeout invoice January- Summary.xlsx,Summary,386,accepted
2026-01-01,TAKEOUT,Takeout invoice for post 3rd yr MSPs - January- Summary.xlsx,Summary,8,accepted
2026-02-01,MAIN,Connectwise-Febr26 Summary.xlsx,dk-co,361,accepted
2026-02-01,MAIN,Connectwise-Febr26 Summary.xlsx,au-sy,345,accepted
2026-02-01,MAIN,Connectwise-Febr26 Summary.xlsx,us-dc,4779,accepted
2026-02-01,MAIN,Connectwise-Febr26 Summary.xlsx,ca-tr,1039,accepted
2026-02-01,MAIN,Connectwise-Febr26 Summary.xlsx,uk-ld,1034,accepted
2026-02-01,TAKEOUT,Invoice_332089.pdf,PDF,7,accepted
2026-03-01,MAIN,connectwise-Main 2026-03 Summary.xlsx,dk-co,377,accepted
2026-03-01,MAIN,connectwise-Main 2026-03 Summary.xlsx,au-sy,314,accepted
2026-03-01,MAIN,connectwise-Main 2026-03 Summary.xlsx,us-dc,4791,accepted
2026-03-01,MAIN,connectwise-Main 2026-03 Summary.xlsx,ca-tr,1017,accepted
2026-03-01,MAIN,connectwise-Main 2026-03 Summary.xlsx,uk-ld,1040,accepted
2026-03-01,TAKEOUT,Invoice_349958.pdf,PDF,7,accepted
2026-04-01,MAIN,connectwise-summary 2026-04 -Main.xlsx,dk-co,392,accepted
2026-04-01,MAIN,connectwise-summary 2026-04 -Main.xlsx,au-sy,308,accepted
2026-04-01,MAIN,connectwise-summary 2026-04 -Main.xlsx,us-dc,4940,accepted
2026-04-01,MAIN,connectwise-summary 2026-04 -Main.xlsx,ca-tr,1041,accepted
2026-04-01,MAIN,connectwise-summary 2026-04 -Main.xlsx,uk-ld,1043,accepted
2026-04-01,TAKEOUT,Invoice_380192.pdf,PDF,7,accepted
2026-05-01,MAIN,Summary Main - connectwise-2026-05.xlsx,dk-co,394,accepted
2026-05-01,MAIN,Summary Main - connectwise-2026-05.xlsx,au-sy,306,accepted
2026-05-01,MAIN,Summary Main - connectwise-2026-05.xlsx,us-dc,5081,accepted
2026-05-01,MAIN,Summary Main - connectwise-2026-05.xlsx,ca-tr,1060,accepted
2026-05-01,MAIN,Summary Main - connectwise-2026-05.xlsx,uk-ld,1044,accepted
2026-05-01,TAKEOUT,Invoice_407230.pdf,PDF,7,accepted
2026-06-01,MAIN,Summary Main - connectwise-2026-06.xlsx,dk-co,402,accepted
2026-06-01,MAIN,Summary Main - connectwise-2026-06.xlsx,au-sy,306,accepted
2026-06-01,MAIN,Summary Main - connectwise-2026-06.xlsx,us-dc,5210,accepted
2026-06-01,MAIN,Summary Main - connectwise-2026-06.xlsx,ca-tr,1161,accepted
2026-06-01,MAIN,Summary Main - connectwise-2026-06.xlsx,uk-ld,1051,accepted
2026-06-01,TAKEOUT,Invoice_424740.pdf,PDF,7,accepted
2026-07-01,MAIN,Summary Main - connectwise-2026-07.xlsx,dk-co,396,accepted
2026-07-01,MAIN,Summary Main - connectwise-2026-07.xlsx,au-sy,300,accepted
2026-07-01,MAIN,Summary Main - connectwise-2026-07.xlsx,us-dc,5328,accepted
2026-07-01,MAIN,Summary Main - connectwise-2026-07.xlsx,ca-tr,1396,accepted
2026-07-01,MAIN,Summary Main - connectwise-2026-07.xlsx,uk-ld,1040,accepted
2026-07-01,PROMO,Summary-connectwise-promo-partners-2026-07.xlsx,Summary,441,accepted
2026-07-01,TAKEOUT,Takeout Invoice Post year 3 - July 2026.xlsx,Summary,20,accepted
