BILLING_MONTH,VENDOR_PRODUCT_SKU,MODIFIER,UNIT_PRICE,row_count,quantity,amount
2026-01-01,KEEPIT_POST_PROMO_USAGE,TAKEOUT,,8,28583.0,22992.0
2026-01-01,KI-AZUR-CSP,,0.35,20,22757.0,7964.95
2026-01-01,KI-AZUR-CSP,,0.65,38,11412.0,7417.8
2026-01-01,KI-AZUR-CSP,,1.0,20,9127.0,9127.0
2026-01-01,KI-D365-FUL,,0.65,5,317.0,206.05
2026-01-01,KI-D365-FUL,,1.0,6,412.0,412.0
2026-01-01,KI-GOOG-FUL,,0.35,33,5056.0,1769.6
2026-01-01,KI-GOOG-FUL,,0.65,45,4138.0,2689.7
2026-01-01,KI-GOOG-FUL,,1.0,55,5976.0,5976.0
2026-01-01,KI-M365-FUL,PROMO,0.25,74,72910.0,18227.5
2026-01-01,KI-M365-FUL,PROMO,0.75,198,322694.0,235713.5
2026-01-01,KI-M365-FUL,,0.35,115,88726.0,31054.100000000002
2026-01-01,KI-M365-FUL,,0.65,224,91990.0,59793.5
2026-01-01,KI-M365-FUL,,1.0,216,95244.0,95244.0
2026-01-01,KI-SFDC-FUL,,0.65,6,463.0,300.95
2026-01-01,KI-SFDC-FUL,,1.0,9,651.0,651.0
2026-02-01,KI-AZUR-CSP,PROMO,0.66,1,19238.0,12753.4
2026-02-01,KI-AZUR-CSP,,0.35,22,20920.0,7322.000000000001
2026-02-01,KI-AZUR-CSP,,0.65,34,13544.0,8803.6
2026-02-01,KI-AZUR-CSP,,1.0,19,8211.0,8211.0
2026-02-01,KI-D365-FUL,PROMO,0.83,1,280.0,233.25
2026-02-01,KI-D365-FUL,,0.65,5,320.0,208.0
2026-02-01,KI-D365-FUL,,1.0,7,409.0,409.0
2026-02-01,KI-D365-LGT,PROMO,0.75,1,24.0,18.0
2026-02-01,KI-GOOG-FUL,PROMO,0.89,1,9948.0,8815.65
2026-02-01,KI-GOOG-FUL,,0.35,35,5086.0,1780.1
2026-02-01,KI-GOOG-FUL,,0.65,51,5405.0,3513.25
2026-02-01,KI-GOOG-FUL,,1.0,55,6053.0,6053.0
2026-02-01,KI-M365-FUL,PROMO,0.61,1,262943.0,161638.25
2026-02-01,KI-M365-FUL,PROMO,0.91,1,102271.0,93055.45
2026-02-01,KI-M365-FUL,,0.35,119,94605.0,33111.75
2026-02-01,KI-M365-FUL,,0.65,232,92830.0,60339.5
2026-02-01,KI-M365-FUL,,1.0,217,94586.0,94586.0
2026-02-01,KI-SFDC-FUL,PROMO,0.75,1,567.0,425.25
2026-02-01,KI-SFDC-FUL,,0.65,6,464.0,301.6
2026-02-01,KI-SFDC-FUL,,1.0,10,689.0,689.0
2026-03-01,KI-AZUR-CSP,,0.35,23,5974.0,2090.9
2026-03-01,KI-AZUR-CSP,,0.65,37,5786.0,3760.9
2026-03-01,KI-AZUR-CSP,,1.0,20,7328.0,7328.0
2026-03-01,KI-D365-FUL,,0.65,4,297.0,193.05
2026-03-01,KI-D365-FUL,,1.0,7,416.0,416.0
2026-03-01,KI-GOOG-FUL,,0.35,37,7524.0,2633.4
2026-03-01,KI-GOOG-FUL,,0.65,54,4522.0,2939.3
2026-03-01,KI-GOOG-FUL,,1.0,51,5693.0,5693.0
2026-03-01,KI-M365-FUL,PROMO,0.25,80,76775.0,19193.75
2026-03-01,KI-M365-FUL,PROMO,0.75,206,330754.0,241540.1
2026-03-01,KI-M365-FUL,,0.35,124,100582.0,35203.7
2026-03-01,KI-M365-FUL,,0.65,233,94106.0,61168.9
2026-03-01,KI-M365-FUL,,1.0,211,91410.0,91410.0
2026-03-01,KI-SFDC-FUL,,0.65,7,509.0,330.84999999999997
2026-03-01,KI-SFDC-FUL,,1.0,10,715.0,715.0
2026-04-01,KEEPIT_POST_PROMO_USAGE,TAKEOUT,,12,34025.0,34025.0
2026-04-01,KI-AZUR-CSP,,0.75,89,24040.0,18030.0
2026-04-01,KI-D365-FUL,,1.0,11,708.0,708.0
2026-04-01,KI-GOOG-FUL,,1.0,123,21653.0,20619.05
2026-04-01,KI-M365-FUL,PROMO,0.25,85,89051.0,22262.75
2026-04-01,KI-M365-FUL,PROMO,0.75,213,350265.0,255947.8
2026-04-01,KI-M365-FUL,,1.0,442,295407.0,278307.45
2026-04-01,KI-SFDC-FUL,,1.0,17,1227.0,1227.0
2026-05-01,KEEPIT_POST_PROMO_USAGE,TAKEOUT,,12,35163.0,34609.5
2026-05-01,KI-AZUR-CSP,,0.75,95,27581.0,20685.75
2026-05-01,KI-D365-FUL,,1.0,11,703.0,703.0
2026-05-01,KI-GOOG-FUL,,1.0,129,22951.0,22951.0
2026-05-01,KI-M365-FUL,PROMO,0.25,85,78303.0,19575.75
2026-05-01,KI-M365-FUL,PROMO,0.75,214,353240.0,258133.1
2026-05-01,KI-M365-FUL,,1.0,442,298830.0,298830.0
2026-05-01,KI-SFDC-FUL,,1.0,17,1279.0,1279.0
2026-06-01,KEEPIT_POST_PROMO_USAGE,TAKEOUT,,15,36555.0,35973.75
2026-06-01,KI-AZUR-CSP,,0.75,98,35892.0,26919.0
2026-06-01,KI-D365-FUL,,1.0,12,967.0,967.0
2026-06-01,KI-GOOG-FUL,,1.0,135,28951.0,28951.0
2026-06-01,KI-M365-FUL,PROMO,0.25,92,87104.0,21776.0
2026-06-01,KI-M365-FUL,PROMO,0.75,222,370971.0,271281.15
2026-06-01,KI-M365-FUL,,1.0,440,305356.0,305356.0
2026-06-01,KI-SFDC-FUL,,1.0,17,1325.0,1325.0
2026-07-01,KEEPIT_POST_PROMO_USAGE,TAKEOUT,,16,34947.0,34368.5
2026-07-01,KI-AZUR-CSP,,0.75,94,61115.0,45836.25
2026-07-01,KI-D365-FUL,,1.0,12,954.0,954.0
2026-07-01,KI-GOOG-FUL,,1.0,143,29115.0,29115.0
2026-07-01,KI-M365-FUL,PROMO,0.25,91,88977.0,22244.25
2026-07-01,KI-M365-FUL,PROMO,0.75,221,373791.0,273385.6
2026-07-01,KI-M365-FUL,,1.0,439,304192.0,304192.0
2026-07-01,KI-SFDC-FUL,,1.0,18,1340.0,1340.0
