BILLING_MONTH,CURRENCY,row_count,quantity,amount,distinct_partners,distinct_packages
2026-01-01,AUD,96,3281,5208.98,7,5
2026-01-01,USD,7779,369083,561930.09,596,10
2026-02-01,AUD,96,3315,5261.32,7,5
2026-02-01,USD,8089,377997,579655.4,620,10
2026-03-01,AUD,94,3321,5267.18,7,5
2026-03-01,USD,8323,384789,592452.08,627,10
2026-04-01,AUD,90,3330,5281.860000000001,5,5
2026-04-01,USD,8597,393714,608703.45,647,10
2026-05-01,AUD,89,3309,5248.68,5,5
2026-05-01,USD,8884,402489,624625.79,669,10
2026-06-01,AUD,99,3411,5566.349999999999,6,7
2026-06-01,USD,9134,413804,643454.93,681,10
2026-07-01,AUD,99,3402,5547.59,6,7
2026-07-01,USD,9395,422353,660819.59,704,10
