method,n_months,mae_pp,wmae_pp,rmse_pp,wrmse_pp,bias_pp,recent12_mae_pp,recent12_bias_pp
native_contract_model_baseline,18,1.5320626485099913,1.5485733097151357,1.7891675646590117,1.8168848774126714,0.08028738304732425,1.2967040794327716,0.9114062865154177
robust_ewma_winsor,18,2.1514085744335754,2.1338740967709695,2.413410411482648,2.398053934694281,1.6118660742005702,2.4424061581849372,2.4377599933495326
seasonal_shrink_24,18,2.1591145255735262,2.1446861170435065,2.4528272102314523,2.44102911817515,1.6136289338573144,2.467144086268194,2.4665191497306416
adaptive_recent_plus_longrun,18,2.1620539911106977,2.14616719480063,2.405713049847333,2.3922003979167,1.5949071854614105,2.437056506573738,2.437056506573738
winsor12_then_recent6,18,2.162252568803997,2.1464891687556396,2.4061100329433427,2.3926491998492034,1.6027282900917779,2.438311253478119,2.438311253478119
finance6_trim,18,2.1654766590173256,2.1492224063333514,2.4099796201261254,2.39624497051956,1.588630727801374,2.4399019402774136,2.4399019402774136
huber_recent6,18,2.1674471044706656,2.150890920276729,2.4113980858286834,2.3972450450869034,1.5995841094078074,2.4458119064384847,2.4458119064384847
blended_6_trim_plus_seasonal,18,2.1676464988252206,2.1531682133485526,2.4676137564375016,2.455747037592983,1.6126260970752577,2.482911348365571,2.478670095005723
finance6_median,18,2.1681415534680735,2.1509469173706393,2.4134232792076786,2.3987305029541885,1.6130518579882407,2.4531112083493922,2.4531112083493922
trailing12_mean,18,2.17777641284899,2.162894707810354,2.4210576581196723,2.4077625210553393,1.6592824539164863,2.4674117514521257,2.4674117514521257
current_app_style_trailing3,18,2.17966012522592,2.1586695411019057,2.442658838174322,2.4232272027306023,1.5888268041483566,2.4691256405416078,2.4415238974143634
finance6_ewma_h3,18,2.1870709292929953,2.1748401739422047,2.447121475739652,2.4368400124850713,1.6262920871809934,2.449955330162441,2.449955330162441
flat_1p6,18,2.217205606880715,2.202233602903454,2.4531694193796065,2.4397039257999293,1.6802873830473186,2.511406286515412,2.511406286515412
