CONTRACT_ID,PARTNER,SEGMENT,RENEWAL_MONTH,LOSS,CHURN_PCT,TIER,RISK_DRIVER_1,RISK_DRIVER_2,RISK_DRIVER_3
8004v000002yPDOAA2,"Computer Integration Technologies, Inc.",Strategic,2026-07-01,293172.0,62.0,HIGH,F_RISK_COLOR,F_CONTRACT_MARGIN,F_LOG_ATR
800Pj00000mLFA9IAO,Air-IT,Strategic,2026-07-01,275716.0,47.4,HIGH,F_LOG_ATR,F_RENEWAL_TYPE,F_CONTRACT_MARGIN
8004v000002TM8CAAW,"Velocity Network, Inc.",Strategic,2026-09-01,221854.0,59.1,HIGH,F_NUM_RENEWABLE_PRODUCTS,F_LOG_ATR,F_CONTRACT_MARGIN
8004v000002TM8CAAW,"Velocity Network, Inc.",Strategic,2026-09-01,191865.0,59.1,HIGH,F_NUM_RENEWABLE_PRODUCTS,F_LOG_ATR,F_CONTRACT_MARGIN
800Pj00000XdILWIA3,Air-IT,Strategic,2026-08-01,162184.0,73.5,HIGH,F_CONTRACT_MARGIN,F_RISK_COLOR,F_NUM_RENEWABLE_PRODUCTS
8004v000002ef1rAAA,"Granite Telecommunications, LLC",Strategic,2026-09-01,151394.0,52.4,HIGH,F_LOG_ATR,F_CONTRACT_MARGIN,F_CONTRACT_DURATION_DAYS
800Pj00000iOzFWIA0,"Heartland Business Systems, LLC",Strategic,2026-08-01,139989.0,62.0,HIGH,F_LOG_ATR,F_RISK_COLOR,F_PRIOR_LOSS_RATE
800Pj00000mlOkqIAE,"Wipfli Advisory, LLC",Strategic,2026-09-01,135001.0,42.1,MEDIUM,F_LOG_ATR,F_NUM_RENEWABLE_PRODUCTS,F_CONTRACT_MARGIN
8004v000002TM8CAAW,"Velocity Network, Inc.",Strategic,2026-09-01,122858.0,59.1,HIGH,F_NUM_RENEWABLE_PRODUCTS,F_LOG_ATR,F_CONTRACT_MARGIN
800Pj00000tLP2EIAW,"Ntiva, Inc",Strategic,2026-07-01,98218.0,47.4,HIGH,F_PRIOR_LOSS_COUNT,F_LOG_ATR,F_RISK_COLOR
800Pj00000iOzFWIA0,"Heartland Business Systems, LLC",Strategic,2026-08-01,94981.0,62.0,HIGH,F_LOG_ATR,F_RISK_COLOR,F_PRIOR_LOSS_RATE
800Pj00000FkfKbIAJ,ITEC Connect Limited,Strategic,2026-07-01,94288.0,45.1,MEDIUM,F_CONTRACT_MARGIN,F_LOG_ATR,
800Pj00000kTz7HIAS,"Kraft & Kennedy, Inc.",Strategic,2026-08-01,92183.0,47.4,HIGH,F_NUM_RENEWABLE_PRODUCTS,F_CONTRACT_MARGIN,F_LOG_ATR
