entity,source_side,vendor_product_string,product_family,cw_charge_name,unit_price_basis,notes
CW,VENDOR (Auvik invoice),ANM Essentials - Evergreen,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Overage - ANM Essentials Evergreen,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Overage - ANM Performance Add-On Evergreen,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),ANM Performance Add-Ons - Evergreen,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Auvik SaaS Management - Evergreen,ASM,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Overage - Auvik SaaS Management Evergreen,ASM,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),ANM Essentials,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),ANM Performance Add-Ons,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Overage - ANM Performance Add-on,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Overage - ANM Essentials,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),EPRM-ANM-10 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),PARM-ANM-10 Auvik Performance Add On,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),EPRM-ANM-250 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Auvik SaaS Management,ASM,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),ANM Full Performance - Evergreen,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),EPRM-ANM-750 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),PARM-ANM-750 Auvik Performance Add On,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Usage - Billable Devices,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),ERM-ANM-40 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),CWANM-1 Committed Billable Devices,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),CWANM-1 Additional Billable Devices,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),ERM-ANM-75 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Overage - Auvik SaaS Management,ASM,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),Overage - ANM Full Performance Evergreen,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),PRM-ANM-40 Auvik Performance -- Committed,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),RM - ASM - 250 - Committed,ASM,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),PRM-ANM-40 Auvik Performance -- Overage,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),EPRM-ANM-100 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),PARM-ANM-100 Auvik Performance Add On,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),ERM-ANM-10 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,VENDOR (Auvik invoice),ERM-ANM-250 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Performance,Auvik Performance Addon,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,"Auvik NTWK Monitoring and Mgmt, 1-39 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik Essentials,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,"Auvik Essentials NMM, 500-749 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik Transfer - Essentials,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,"Auvik Essentials NMM, 250-499 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik NTWK Monitoring and Mgmt,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Performance,Auvik Performance Add-On,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Performance,Auvik AMN - Performance AddOn - Committed,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,"Auvik Essentials NMM, 100-174 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,"Auvik Essentials NMM, 1-39 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),ASM,Auvik ASM - Standard - Committed,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,"Auvik Essentials NMM, 40-99 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik 10 Network Monitoring and Management,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik Transfer - Essentials Annual,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik 100 Network Monitoring and Management,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,"Auvik Essentials NMM, 175-249 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,"Auvik NTWK Monitoring and Mgmt, 40-99 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),ASM,Auvik SaaS Application Management,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik Essentials -- Proration,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Performance,Auvik AMN - Performance AddOn - Committed -- Proration,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik 40 Network Monitoring and Management,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
