vendor,vendor_sku_or_product,cw_sku,unit_price,currency,uom,price_basis,source_doc,notes
Kaseya,Base,,11,USD,member/mo,Continuum price list,Kaseya Recon May 2026 :: Pricing,
Kaseya,Premium,,16,USD,member/mo,Continuum price list,Kaseya Recon May 2026 :: Pricing,
Kaseya,Security,,41,USD,member/mo,Continuum price list,Kaseya Recon May 2026 :: Pricing,
Kaseya,Exchange,,41,USD,member/mo,Continuum price list,Kaseya Recon May 2026 :: Pricing,
Kaseya,SQL,,41,USD,member/mo,Continuum price list,Kaseya Recon May 2026 :: Pricing,
Kaseya,Client Connector,,15,USD,member/mo,Continuum price list,Kaseya Recon May 2026 :: Pricing,
Kaseya,Hipaa,,125,USD,member/mo,Continuum price list,Kaseya Recon May 2026 :: Pricing,
Kaseya,PCI Compliance,,100,USD,member/mo,Continuum price list,Kaseya Recon May 2026 :: Pricing,
KeepIT,KI-M365-FUL,CW-RMM-SB-M365,1,USD,user/mo,Vendor invoice SKU,SKU Mapping Master :: KeepIT,
KeepIT,KI-GOOG-FUL,CW-RMM-SB-GW,1,USD,user/mo,Vendor invoice SKU,SKU Mapping Master :: KeepIT,
KeepIT,KI-AZUR-CSP,CW-RMM-SB-AZ-ADV,0.75,USD,user/mo,Vendor invoice SKU,SKU Mapping Master :: KeepIT,
KeepIT,KI-SFDC-FUL,CW-RMM-SB-SF,1,USD,user/mo,Vendor invoice SKU,SKU Mapping Master :: KeepIT,
KeepIT,KI-D365-FUL,CW-RMM-SB-DYNMCS,1,USD,user/mo,Vendor invoice SKU,SKU Mapping Master :: KeepIT,
