vendor,partner_identifier,cw_account_key,status,exclusion_reason,source_evidence
Gozynta,KNR Pipeline Services,ACT-00045843,Active,other,"""Billed by CW not by Vendor"" (Gozynta Recon May'26, Data tab); CW qty 1, no Gozynta vendor usage"
Gozynta,Select Technology Systems,ACT-00175082,Active,other,"""Billed by CW not by Vendor"" (Gozynta Recon May'26, Data tab); CW qty 1, no Gozynta vendor usage"
Gozynta,Viewdata Computing Ltd,ACT-00233643,Active,other,"""Billed by CW not by Vendor"" (Gozynta Recon May'26, Data tab); CW qty 1, no Gozynta vendor usage"
Gozynta,Comsource,ACT-00246728,Active,other,"""Billed by CW not by Vendor"" (Gozynta Recon May'26, Data tab); CW qty 1, no Gozynta vendor usage; parent TD Synnex Corp"
StorageCraft,Quadtech,ACT-00240810,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 49, no StorageCraft vendor usage"
StorageCraft,Royal IT,ACT-00084907,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 8, no StorageCraft vendor usage"
StorageCraft,Nucleus Networks,ACT-00246124,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 13, no StorageCraft vendor usage"
StorageCraft,Cowley Computer Solutions,ACT-00116313,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 53, no StorageCraft vendor usage"
StorageCraft,MCI 4 Service Ltd,ACT-00109167,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 6, no StorageCraft vendor usage"
StorageCraft,Aldridge,ACT-00245085,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 97, no StorageCraft vendor usage"
StorageCraft,"arielMIS, Inc.",ACT-00215694,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 27, no StorageCraft vendor usage"
StorageCraft,Attentus Technologies (CW),ACT-00066593,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 115, no StorageCraft vendor usage"
StorageCraft,Benchmark Information Technology,ACT-00019112,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 12, no StorageCraft vendor usage"
StorageCraft,"Carceron Systems Group, LLC",ACT-00132764,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 190, no StorageCraft vendor usage"
StorageCraft,CG Technical Solutions Inc.,ACT-00151854,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 50, no StorageCraft vendor usage"
StorageCraft,Computerland of East Texas,ACT-00002557,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 1, no StorageCraft vendor usage; note: Company name changed to Cynergy Technologies"
StorageCraft,GCI,ACT-00063955,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 9, no StorageCraft vendor usage"
StorageCraft,Geeks 4 Lease,ACT-00047480,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 12, no StorageCraft vendor usage"
StorageCraft,"Hilltop Consultants, Inc.",ACT-00238543,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 20, no StorageCraft vendor usage; note: M&A Quote - Q-519737, As per quote storagecraft subscription moved from Glasser Tech LLC to  Hilltop Consultants, Inc."
StorageCraft,Integra Business Center Inc DBA IntegraOne,ACT-00151247,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 3, no StorageCraft vendor usage"
StorageCraft,LanSource,ACT-00246678,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 60, no StorageCraft vendor usage"
StorageCraft,"Lawton Networks, Inc",ACT-00165064,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 38, no StorageCraft vendor usage"
StorageCraft,Omega Systems,ACT-00133595,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 1, no StorageCraft vendor usage"
StorageCraft,Online Computers & Communications LLC,ACT-00132469,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 1, no StorageCraft vendor usage"
StorageCraft,RCL Systems,ACT-00015020,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 20, no StorageCraft vendor usage"
StorageCraft,SOHOTech,ACT-00138031,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 77, no StorageCraft vendor usage"
StorageCraft,Success Computer Consulting (CW),ACT-00105942,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 138, no StorageCraft vendor usage"
StorageCraft,TechClarity,ACT-00185216,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 11, no StorageCraft vendor usage"
StorageCraft,Thornfield Cyber,ACT-00248102,,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 9, no StorageCraft vendor usage"
StorageCraft,Leapfrog IT Services Inc.,ACT-00003546,not_in_partner_map,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 190, no StorageCraft vendor usage; SF ID not found in partner map"
StorageCraft,"Xceptional Networks, Inc",ACT-00008780,not_in_partner_map,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 2, no StorageCraft vendor usage; SF ID not found in partner map"
StorageCraft,InfiNet Solutions Inc,ACT-00026702,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 2, no StorageCraft vendor usage"
StorageCraft,IT Tech Solutions LLC,ACT-00040418,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 27, no StorageCraft vendor usage"
StorageCraft,"Teklinks, Inc. dba C Spire Business",ACT-00043227,not_in_partner_map,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 28, no StorageCraft vendor usage; SF ID not found in partner map"
StorageCraft,Lime Systems,ACT-00108945,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 1, no StorageCraft vendor usage"
StorageCraft,New Era Technology,ACT-00145059,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 4, no StorageCraft vendor usage"
StorageCraft,"CodeBlue Technology, LLC",ACT-00236907,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 157, no StorageCraft vendor usage"
StorageCraft,Tela Technology,ACT-00208500,Active,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 2, no StorageCraft vendor usage"
StorageCraft,Scale Technology,ACT-00224975,not_in_partner_map,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 1, no StorageCraft vendor usage; SF ID not found in partner map"
StorageCraft,The Computer Doctors,ACT-00243659,Active;Enabled,other,"""Billed by CW not by vendor"" (Storagecraft recon May'26, Consolidated tab); CW qty 20, no StorageCraft vendor usage"
Malwarebytes,,,,other,"CW-billed product ""Malwarebytes Anti-Malware for Business"" qty 209 with no matching Malwarebytes/ThreatDown vendor product (Invoice & CW Qty tab); account-level Data tab reconciles to 0 qty variance"
