map_row_id,vendor,vendor_sku,cw_sku,cw_charge_name,mapping_method,valid_from,valid_to,is_current,months_observed,observed_month_count,has_month_gap,data_window_start,data_window_end,seed_generated_on
S2S-00001,Acronis,SBATFNLOS,SBATFNLOS,Acronis Advanced Security Awareness Training,master_sku_sheet,2026-01-01,2026-05-31,FALSE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00002,Acronis,SEDAMSENS,SEDAMSENS,Acronis Advanced DR-Hosted Public IP address,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00003,Acronis,SO4AMSENS,SO4AMSENS,Acronis Advanced Email Security (Perception Point),master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00004,Acronis,SO6AMSENS,APP-SA-SO6AMSENS,APP-Acronis Cyber Protect Cloud Advanced Collaboration Apps Security (Perception Point),data_tab_cms_sku,2026-03-01,2026-05-31,FALSE,2026-03;2026-04;2026-05,3,FALSE,2026-01,2026-06,2026-07-15
S2S-00005,Acronis,SP1AMSENS,SP1AMSENS,Acronis Files Sync&Share-GB-Hosted Strg per GB-G1,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00006,Acronis,SP3AMSENS,SP3AMSENS,Acronis Backup - GB - Google Hosted Storage (per GB),master_sku_sheet,2026-01-01,2026-03-31,FALSE,2026-01;2026-02;2026-03,3,FALSE,2026-01,2026-06,2026-07-15
S2S-00007,Acronis,SP4BMSENS,SP4BMSENS,Acronis Backup-GB-Customer Storage (per GB),master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00008,Acronis,SP5AMSENS,SP5AMSENS,Acronis Backup-Geo-redundant-GB/WL-Acronis Hosted Storage,master_sku_sheet,2026-01-01,2026-05-31,FALSE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00009,Acronis,SPBAMSENS,SPBAMSENS,Acronis Cyber Protect Cloud - Acronis Hosted Storage (per GB),master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00010,Acronis,SPBBMSENS,APP-BC-SPBBMSENS,,data_tab_cms_sku,2026-01-01,2026-05-31,FALSE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00011,Acronis,SPD5MSENS,SPD5MSENS,Acronis Cyber Protect Cloud - NAS,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00012,Acronis,SPDAMSENS,SPDAMSENS,Acronis Backup - WL - Acronis Hosted Storage for per Workload model (per GB),master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00013,Acronis,SPDCMSENS,SPDCMSENS,,data_tab_self_match,2026-01-01,2026-05-31,FALSE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00014,Acronis,SPEAMSENS,SPEAMSENS,Acronis Cyber Protect Cloud - Server,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00015,Acronis,SPFAMSENS,SPFAMSENS,Acronis Cyber Protect Cloud - VM,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00016,Acronis,SPGAMSENS,SPGAMSENS,Acronis Cyber Protect Cloud - Workstation,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00017,Acronis,SPIAMSENS,SPIAMSENS,"Acronis Files Cloud, Per User",master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00018,Acronis,SPXAMSENS,SPXAMSENS,"Acronis BU Cld,Google Hstd Cld,Per GB,per Dv Addon",master_sku_sheet,2026-01-01,2026-05-31,FALSE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00019,Acronis,SQ1AMSENS,SQ1AMSENS,"Acronis BU Cld, Azure Hstd Cld,perGB,per Dev Addon",master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00020,Acronis,SQ2AMSENS,SQ2AMSENS,Acronis Backup - GB - Azure Hosted Storage (per GB),master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00021,Acronis,SQ7AMSENS,SQ7AMSENS,Acronis Backup Cloud Std Hosting Panel Per Server,master_sku_sheet,2026-01-01,2026-05-31,FALSE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00022,Acronis,SQ8AMSENS,SQ8AMSENS,Acronis Cyber Protect Cloud-Google Workspace-G1,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00023,Acronis,SQBPMSENS,APP-SA-SQBPMSENS,APP-Acronis Cyber Protect Cloud Backup-WL-Google Workspace seat (for SP/Azure/Google Hosted storage),data_tab_cms_sku,2026-01-01,2026-04-30,FALSE,2026-01;2026-02;2026-03;2026-04,4,FALSE,2026-01,2026-06,2026-07-15
S2S-00024,Acronis,SQYAMSENS,SQYAMSENS,Advanced DR-Acronis Hosted-1 compute point,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00025,Acronis,SRAAMSENS,SRAAMSENS,Acronis Cyber Protect Cloud - Microsoft 365 seat,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00026,Acronis,SRBAMSENS,SRBAMSENS,Acronis Backup Cloud Standard per Mobile Device,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00027,Acronis,SRHAMSENS,SRHAMSENS,Acronis Advanced Management Pack,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00028,Acronis,SRI5MSENS,SRI5MSENS,Acronis Advanced Data Loss Prevention,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00029,Acronis,SRIAMSENS,SRIAMSENS,Acronis Advanced Security Pack,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00030,Acronis,SRJAMSENS,SRJAMSENS,Acronis Cyber Protect Cloud - Microsoft 365 seat (with unlimited Acronis Hosted Cloud storage),master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00031,Acronis,SRJGMSENS,APP-SA-SRJGMSENS,APP-Acronis Cyber Protect Cloud Backup-Geo-redundant-WL-Microsoft 365 seat,data_tab_cms_sku,2026-01-01,2026-02-28,FALSE,2026-01;2026-02,2,FALSE,2026-01,2026-06,2026-07-15
S2S-00032,Acronis,SRMAMSENS,SRMAMSENS,Acronis Cyber Protect Cloud - Acronis Advanced Management - Microsoft 365 seats,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00033,Acronis,SUVAMSENS,SUVAMSENS,Acronis Hosted Files Cloud Storage - Acronis Hosted (Per GB),master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00034,Acronis,SVEAMSENS,SVEAMSENS,Acronis Hosted Cyber DR Cloud (add-on) Per GB,master_sku_sheet,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,6,FALSE,2026-01,2026-06,2026-07-15
S2S-00035,Bitdefender,2765EMMSN012ALZZ,2765EMMSN012ALZZ,"Bitdefender GravityZone Email Security, 1-99",DIRECT,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00036,Bitdefender,2765EMMSN012BLZZ,2765EMMSN012BLZZ,"Bitdefender GravityZone Email Security, 100-499",DIRECT,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00037,Bitdefender,2765EMMSN012CLZZ,2765EMMSN012CLZZ,"Bitdefender GravityZone Email Security, 500-999",DIRECT,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00038,Bitdefender,3PARTYONPREMBTCDSCCW,3PARTYONPREMBTCDSCCW,Bitdefender Cloud Security Gravity Zone,DIRECT,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00039,Bitdefender,3PARTYONPREMBTCDSCLT,3PARTYONPREMBTCDSCLT,Bitdefender Security TSP CW Automate,DIRECT,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
S2S-00040,Bitdefender,AL1775A00A-EN-D,AL1775A00A-EN-D,Bitdefender Security for Virtualized Environments VS,DIRECT,2026-01-01,9999-12-31,TRUE,2026-01;2026-02;2026-03;2026-04;2026-05,5,FALSE,2026-01,2026-06,2026-07-15
