PARTNER_KEY,SF_ID_COUNT,CANONICAL_SF_ID_COUNT,RESOLUTION_CLASS,SF_IDS,CANONICAL_SF_IDS
SECURE NETWORKS,3,3,MANUAL_REVIEW_REQUIRED,ACT-00144936 | ACT-00224787 | ACT-00272688,ACT-00144936 | ACT-00224787 | ACT-00272688
360 BUSINESS SOLUTIONS,2,2,MANUAL_REVIEW_REQUIRED,ACT-00147480 | ACT-00441985,ACT-00147480 | ACT-00441985
"A-PLUS COMPUTERS, INC.",2,2,MANUAL_REVIEW_REQUIRED,ACT-0006910 | ACT-00069102,ACT-0006910 | ACT-00069102
ALL LINES TECHNOLOGY,2,2,MANUAL_REVIEW_REQUIRED,ACT-00032429 | ACT-00236877,ACT-00032429 | ACT-00236877
AMERICHOICE FCU,2,2,MANUAL_REVIEW_REQUIRED,ACT-00249507 | ACT-00317491,ACT-00249507 | ACT-00317491
BE CONNECTED,2,2,MANUAL_REVIEW_REQUIRED,ACT-00011954 | ACT-00151742,ACT-00011954 | ACT-00151742
BECKTEK,2,2,MANUAL_REVIEW_REQUIRED,ACT-00056189 | ACT-00378590,ACT-00056189 | ACT-00378590
BELLWETHER,2,2,MANUAL_REVIEW_REQUIRED,ACT-00134152 | ACT-00246770,ACT-00134152 | ACT-00246770
BETTER TECHNOLOGY SYSTEMS INC,2,2,MANUAL_REVIEW_REQUIRED,ACT-00092930 | ACT-00208525,ACT-00092930 | ACT-00208525
BETTERWORLD TECHNOLOGIES,2,2,MANUAL_REVIEW_REQUIRED,ACT-00020697 | ACT-00208525,ACT-00020697 | ACT-00208525
BULLETPROOF INFOTECH INC.,2,2,MANUAL_REVIEW_REQUIRED,ACT-00150133 | ACT-00239634,ACT-00150133 | ACT-00239634
CENDIEN,2,2,MANUAL_REVIEW_REQUIRED,ACT-00150463 | ACT-00268425,ACT-00150463 | ACT-00268425
CMIT SOLUTIONS,2,2,MANUAL_REVIEW_REQUIRED,ACT-00174754 | ACT-00291377,ACT-00174754 | ACT-00291377
CMIT SOLUTIONS OF GREENVILLE,2,2,MANUAL_REVIEW_REQUIRED,ACT-00074109 | ACT-00245605,ACT-00074109 | ACT-00245605
CMIT SOLUTIONS OF MONMOUTH COUNTY NORTH,2,2,MANUAL_REVIEW_REQUIRED,ACT-00174754 | ACT-00245614,ACT-00174754 | ACT-00245614
COMMERCIAL NETWORKS LTD,2,2,MANUAL_REVIEW_REQUIRED,ACT-00107189 | ACT-00209449,ACT-00107189 | ACT-00209449
COMPUTER DOCTOR,2,2,MANUAL_REVIEW_REQUIRED,ACT-00051656 | ACT-00094890,ACT-00051656 | ACT-00094890
COMTECH,2,2,MANUAL_REVIEW_REQUIRED,ACT-00160460 | ACT-00246018,ACT-00160460 | ACT-00246018
DANMARK COMMUNICATIONS,2,2,MANUAL_REVIEW_REQUIRED,ACT-00061566 | ACT-00141079,ACT-00061566 | ACT-00141079
"DATA CUBE SYSTEMS, INC",2,2,MANUAL_REVIEW_REQUIRED,ACT-00200532 | ACT-00238165,ACT-00200532 | ACT-00238165
DECISION DIGITAL,2,2,MANUAL_REVIEW_REQUIRED,ACT-00175613 | ACT-00203119,ACT-00175613 | ACT-00203119
EBC GROUP (UK) LTD,2,2,MANUAL_REVIEW_REQUIRED,ACT-00022528 | ACT-00420329,ACT-00022528 | ACT-00420329
G6 TECHNOLOGIES,2,2,MANUAL_REVIEW_REQUIRED,ACT-00048872 | ACT-00218881,ACT-00048872 | ACT-00218881
IDTSUPPORT,2,2,MANUAL_REVIEW_REQUIRED,ACT-00109129 | ACT-00212035,ACT-00109129 | ACT-00212035
IN-TELECOM,2,2,MANUAL_REVIEW_REQUIRED,ACT-00055050 | ACT-00246692,ACT-00055050 | ACT-00246692
IT SOLUTIONS,2,2,MANUAL_REVIEW_REQUIRED,ACT-00089577 | ACT-00156353,ACT-00089577 | ACT-00156353
