VENDOR,CW_SKUS,DETAIL_ROWS,VENDOR_AMT
Acronis,"ACB-EUD-M00-TASPDAMSEN,ACB-UKD-M00-TASPDAMSEN,ACB-USD-M00-TASPDAMSEN,APP-BC-SPDAMSENS,BB-ACRONIS-WORKLOAD-BUNDLE,M2M-APP-BC-SPDAMSENS,SPDAMSENS,SPDAMSENS1GB,SPDAMSENS1GB / SPDAMSENSBUCLD1TB,SPDAMSENS1GB/SPDAMSENSBUCLD1TB,SPDAMSENSBUCLD1TB,SPDAMSENSOverage,TASPDAMSEN",2916,1073835.0
Acronis,"ACB-EUD-M00-TASPEAMSEN,ACB-UKD-M00-TASPEAMSEN,ACB-USD-M00-TASPEAMSEN,APP-BC-SPEAMSENS,BB-ACRONIS-WORKLOAD-BUNDLE,M2M-APP-BC-SPEAMSENS,MP-SPEAMSENS,SPEAMSENS,TASPEAMSEN",2327,217402.0
Acronis,"ACB-EUD-M00-TASPGAMSEN,ACB-UKD-M00-TASPGAMSEN,ACB-USD-M00-TASPGAMSEN,APP-BC-SPGAMSENS,BB-ACRONIS-WORKLOAD-BUNDLE,M2M-APP-BC-SPGAMSENS,MP-SPGAMSENS,SPGAMSENS,TASPGAMSEN",2250,105742.0
Acronis,"ACB-UKD-M00-TASPFAMSEN,ACB-USD-M00-TASPFAMSEN,APP-BC-SPFAMSENS,BB-ACRONIS-WORKLOAD-BUNDLE,M2M-APP-BC-SPFAMSENS,MP-SPFAMSENS,SPFAMSENS,TASPFAMSEN",2206,275108.0
Acronis,"ACB-USD-M00-TASPIAMSEN,APP-BC-SPIAMSENS,BB-ACRONIS-WORKLOAD-BUNDLE,M2M-APP-BC-SPIAMSENS,SPIAMSENS,TASPIAMSEN",1785,8924.0
Acronis,"ACB-CAD-M00-TASRIAMSEN,ACB-UKD-M00-TASRIAMSEN,ACB-USD-M00-TASRIAMSEN,APP-BC-SRIAMSENS,BB-ACRONIS-ADV-PROTECTION-BUNDLE,M2M-APP-BC-SRIAMSENS,SRIAMSENS,TASRIAMSEN",1378,4046.0
Acronis,"3PARTYONPREMACCLDDKT,3PARTYONPREMACCLDSV4,3PARTYONPREMCLOUDCAP,3PARTYONPREMCLOUDCAP / ACRONISCLOUDHOSTSTND,ACB-CAD-M00-TASPBAMSEN,ACB-USD-M00-TASPBAMSEN,ACRONISCLOUDHOSTSTND,APP-BC-SPBAMSENS,BB-ACRONIS-PER-GB-BUNDLE,M2M-APP-BC-SPBAMSENS,MP-SPBAMSENS,SPBAMSENS,SPBAMSENS / 3PARTYONPREMCLOUDCAP,SPBAMSENS / 3PARTYONPREMCLOUDCAP / ACRONISCLOUDHOSTSTND,SPBAMSENS/3PARTYONPREMCLOUDCAP,TASPBAMSEN,TBBUHYBRID",1215,588647.0
Acronis,"ACB-USD-M00-TASRJAMSEN,APP-BC-SRJAMSENS,BB-ACRONIS-WORKLOAD-BUNDLE,M2M-APP-BC-SRJAMSENS,SRJAMSENS,TASRJAMSEN",1035,487139.0
Acronis,"ACB-USD-M00-TASPDCMSEN,APP-SA-SPDCMSENS,M2M-APP-SA-SPDCMSENS,SPDCMSENS",838,0.0
Acronis,"ACB-UKD-M00-TASRHAMSEN,ACB-USD-M00-TASRHAMSEN,APP-BC-SRHAMSENS,M2M-APP-BC-SRHAMSENS,SRHAMSENS,TASRHAMSEN",763,4075.0
Acronis,"3PARTYONPREMHOSTEDDR,ACB-CAD-M00-TASVEAMSEN,ACB-UKD-M00-TASVEAMSEN,ACB-USD-M00-TASVEAMSEN,APP-BC-SVEAMSENS,BB-ACRONIS-ADV-PROTECTION-BUNDLE,LEGACYSKUTASPBAMSEN,MP-SVEAMSENS,SVEAMSENS,SVEAMSENS / 3PARTYONPREMHOSTEDDR,TASVEAMSEN",584,207214.0
Acronis,"ACB-USD-M00-TASO4AMSEN,APP-BC-SO4AMSENS,BB-ACRONIS-ADV-PROTECTION-BUNDLE,M2M-APP-BC-SO4AMSENS,SO4AMSENS,TASO4AMSEN",541,76668.0
Acronis,"3PARTYONPREMSP4BMSE1,3PARTYONPREMSP4BMSE2,APP-BC-SP4BMSENS,APP-SA-SP4BMSENS,BB-ACRONIS-PER-GB-BUNDLE,M2M-APP-BC-SP4BMSENS,SP4BMSENS,SP4BMSENS / 3PARTYONPREMSP4BMSE1,TBBUHYBRID",406,28410.0
Acronis,"ACB-USD-M00-TASPD5MSEN,APP-SA-SPD5MSENS,M2M-APP-SA-SPD5MSENS,SPD5MSENS,TASPD5MSEN",297,2786.0
Acronis,"ACB-USD-M00-TASQ8AMSEN,APP-BC-SQ8AMSENS,M2M-APP-BC-SQ8AMSENS,SQ8AMSENS,TASQ8AMSEN",223,19511.0
Acronis,"ACB-USD-M00-TASRI5MSEN,APP-SA-SRI5MSENS,M2M-APP-SA-SRI5MSENS,SRI5MSENS,TASRI5MSEN",218,391.0
Acronis,"APP-BC-SRAAMSENS,M2M-APP-BC-SRAAMSENS,MP-SRAAMSENS,SRAAMSENS",195,10030.0
