VENDOR,CW_SKU,SKU_MATCH_KEY,CONTRACT_COST_RATE,VENDOR_UNIT_PRICE,CW_UNIT_PRICE
Acronis,APP-SA-SBATFNLOS,SBATFNLOS,0.6745,0.71,1.82
Acronis,SBATFNLOS,SBATFNLOS,0.6745,0.71,1.82
Acronis,APP-BC-SEDAMSENS,SEDAMSENS,1.3775,1.75,3.9
Acronis,M2M-APP-BC-SEDAMSENS,SEDAMSENS,1.3775,1.75,3.9
Acronis,SEDAMSENS,SEDAMSENS,1.3775,1.75,3.9
Acronis,ACB-USD-M00-TASO4AMSEN,SO4AMSENS,1.3348,1.45,2.47
Acronis,APP-BC-SO4AMSENS,SO4AMSENS,1.3348,1.45,2.47
Acronis,BB-ACRONIS-ADV-PROTECTION-BUNDLE,SO4AMSENS,1.3348,1.45,2.47
Acronis,M2M-APP-BC-SO4AMSENS,SO4AMSENS,1.3348,1.45,2.47
Acronis,SO4AMSENS,SO4AMSENS,1.3348,1.45,2.47
Acronis,TASO4AMSEN,SO4AMSENS,1.3348,1.45,2.47
Acronis,APP-SA-SO6AMSENS,SO6AMSENS,0.7243,0.7,1.69
Acronis,SO6AMSENS,SO6AMSENS,0.7243,0.7,1.69
Acronis,APP-BC-SP1AMSENS,SP1AMSENS,0.0545,0.0351,0.16
Acronis,APP-SA-SP1AMSENS,SP1AMSENS,0.0545,0.0504,0.16
Acronis,LEGACYSKUTASP1AMSEN,SP1AMSENS,0.0545,0.0351,0.16
Acronis,M2M-APP-BC-SP1AMSENS,SP1AMSENS,0.0545,0.0351,0.16
Acronis,SP1AMSENS,SP1AMSENS,0.0545,0.0,0.17
Acronis,SP1AMSENS BY GB,SP1AMSENS,0.0545,0.0351,0.16
Acronis,ACB-CAD-M00-TASP3AMSEN,SP3AMSENS,0.0646,0.0371,0.16
Acronis,APP-BC-SP3AMSENS,SP3AMSENS,0.0646,0.0371,0.16
Acronis,SP3AMSENS,SP3AMSENS,0.0646,0.0371,0.16
Acronis,SP3AMSENS PER GB,SP3AMSENS,0.0646,0.0371,0.16
Acronis,SP3AMSENS PER TB,SP3AMSENS,0.0646,0.0371,0.16
Acronis,TASP3AMSEN,SP3AMSENS,0.0646,0.0371,0.16
Acronis,3PARTYONPREMSP4BMSE1,SP4BMSENS,0.0264,0.02045,0.09
Acronis,3PARTYONPREMSP4BMSE2,SP4BMSENS,0.0264,0.02045,0.09
Acronis,APP-BC-SP4BMSENS,SP4BMSENS,0.0264,0.015,0.09
Acronis,APP-SA-SP4BMSENS,SP4BMSENS,0.0264,0.0259,0.09
Acronis,BB-ACRONIS-PER-GB-BUNDLE,SP4BMSENS,0.0264,0.02045,0.09
Acronis,M2M-APP-BC-SP4BMSENS,SP4BMSENS,0.0264,0.02045,0.09
Acronis,SP4BMSENS,SP4BMSENS,0.0264,0.02045,0.09
Acronis,SP4BMSENS / 3PARTYONPREMSP4BMSE1,SP4BMSENS,0.0264,0.02045,0.09
Acronis,TBBUHYBRID,SP4BMSENS,0.0264,0.02045,0.09
Acronis,ACB-USD-M00-TASP5AMSEN,SP5AMSENS,0.0113,0.0105,0.05
Acronis,APP-SA-SP5AMSENS,SP5AMSENS,0.0113,0.0105,0.05
Acronis,M2M-APP-SA-SP5AMSENS,SP5AMSENS,0.0113,0.0105,0.05
Acronis,SP5AMSENS,SP5AMSENS,0.0113,0.0105,0.05
Acronis,TASP5AMSEN,SP5AMSENS,0.0113,0.0105,0.05
Acronis,3PARTYONPREMACCLDDKT,SPBAMSENS,0.0545,0.0351,0.16
Acronis,3PARTYONPREMACCLDSV4,SPBAMSENS,0.0545,0.0351,0.16
Acronis,3PARTYONPREMCLOUDCAP,SPBAMSENS,0.0545,0.0351,0.16
Acronis,3PARTYONPREMCLOUDCAP / ACRONISCLOUDHOSTSTND,SPBAMSENS,0.0545,0.0351,0.16
Acronis,ACB-CAD-M00-TASPBAMSEN,SPBAMSENS,0.0545,0.0351,0.16
Acronis,ACB-USD-M00-TASPBAMSEN,SPBAMSENS,0.0545,0.0351,0.16
Acronis,ACRONISCLOUDHOSTSTND,SPBAMSENS,0.0545,0.0351,0.16
Acronis,APP-BC-SPBAMSENS,SPBAMSENS,0.0545,0.0351,0.16
Acronis,BB-ACRONIS-PER-GB-BUNDLE,SPBAMSENS,0.0545,0.02045,0.09
Acronis,M2M-APP-BC-SPBAMSENS,SPBAMSENS,0.0545,0.0351,0.16
Acronis,MP-SPBAMSENS,SPBAMSENS,0.0545,0.0351,0.16
Acronis,SPBAMSENS,SPBAMSENS,0.0545,0.0351,0.16
Acronis,SPBAMSENS / 3PARTYONPREMCLOUDCAP,SPBAMSENS,0.0545,0.0351,0.16
Acronis,SPBAMSENS / 3PARTYONPREMCLOUDCAP / ACRONISCLOUDHOSTSTND,SPBAMSENS,0.0545,0.0351,0.16
Acronis,SPBAMSENS/3PARTYONPREMCLOUDCAP,SPBAMSENS,0.0545,0.0351,0.16
Acronis,TASPBAMSEN,SPBAMSENS,0.0545,0.0351,0.16
Acronis,TBBUHYBRID,SPBAMSENS,0.0545,0.02045,0.09
Acronis,APP-BC-SPBBMSENS,SPBBMSENS,0.0313,0.0338,0.1
Acronis,M2M-APP-BC-SPBBMSENS,SPBBMSENS,0.0313,0.0338,0.1
Acronis,SELFPROVIDEDSTORAGE,SPBBMSENS,0.0313,0.0338,0.1
Acronis,SPBBMSENS,SPBBMSENS,0.0313,0.0338,0.1
Acronis,ACB-USD-M00-TASPD5MSEN,SPD5MSENS,7.06,8.0,20.8
Acronis,APP-SA-SPD5MSENS,SPD5MSENS,7.06,8.0,20.8
Acronis,M2M-APP-SA-SPD5MSENS,SPD5MSENS,7.06,8.0,20.8
Acronis,SPD5MSENS,SPD5MSENS,7.06,8.0,20.8
Acronis,TASPD5MSEN,SPD5MSENS,7.06,8.0,20.8
Acronis,ACB-EUD-M00-TASPDAMSEN,SPDAMSENS,0.0148,0.011,0.06
Acronis,ACB-UKD-M00-TASPDAMSEN,SPDAMSENS,0.0148,0.011,0.06
Acronis,ACB-USD-M00-TASPDAMSEN,SPDAMSENS,0.0148,0.011,0.06
Acronis,APP-BC-SPDAMSENS,SPDAMSENS,0.0148,0.011,0.06
Acronis,BB-ACRONIS-WORKLOAD-BUNDLE,SPDAMSENS,0.0148,0.011,0.06
Acronis,M2M-APP-BC-SPDAMSENS,SPDAMSENS,0.0148,0.011,0.06
Acronis,SPDAMSENS,SPDAMSENS,0.0148,0.011,0.06
Acronis,SPDAMSENS1GB,SPDAMSENS,0.0148,0.011,0.06
Acronis,SPDAMSENS1GB / SPDAMSENSBUCLD1TB,SPDAMSENS,0.0148,0.011,0.06
Acronis,SPDAMSENS1GB/SPDAMSENSBUCLD1TB,SPDAMSENS,0.0148,0.011,0.06
Acronis,SPDAMSENSBUCLD1TB,SPDAMSENS,0.0148,0.011,0.06
Acronis,SPDAMSENSOverage,SPDAMSENS,0.0148,0.011,0.06
Acronis,TASPDAMSEN,SPDAMSENS,0.0148,0.011,0.06
Acronis,ACB-USD-M00-TASPDCMSEN,SPDCMSENS,,0.0,0.0
Acronis,APP-SA-SPDCMSENS,SPDCMSENS,,0.0,0.0
Acronis,M2M-APP-SA-SPDCMSENS,SPDCMSENS,,0.0,0.0
Acronis,SPDCMSENS,SPDCMSENS,,0.0,0.0
Acronis,ACB-EUD-M00-TASPEAMSEN,SPEAMSENS,10.3731,8.7467,31.2
Acronis,ACB-UKD-M00-TASPEAMSEN,SPEAMSENS,10.3731,8.7467,31.2
Acronis,ACB-USD-M00-TASPEAMSEN,SPEAMSENS,10.3731,8.7467,31.2
Acronis,APP-BC-SPEAMSENS,SPEAMSENS,10.3731,8.7467,31.2
Acronis,BB-ACRONIS-WORKLOAD-BUNDLE,SPEAMSENS,10.3731,0.011,0.06
Acronis,M2M-APP-BC-SPEAMSENS,SPEAMSENS,10.3731,8.7467,31.2
Acronis,MP-SPEAMSENS,SPEAMSENS,10.3731,8.7467,31.2
Acronis,SPEAMSENS,SPEAMSENS,10.3731,8.7467,31.2
Acronis,TASPEAMSEN,SPEAMSENS,10.3731,8.7467,31.2
Acronis,ACB-UKD-M00-TASPFAMSEN,SPFAMSENS,3.6565,3.4125,9.75
Acronis,ACB-USD-M00-TASPFAMSEN,SPFAMSENS,3.6565,3.4125,9.75
Acronis,APP-BC-SPFAMSENS,SPFAMSENS,3.6565,3.4125,9.75
Acronis,BB-ACRONIS-WORKLOAD-BUNDLE,SPFAMSENS,3.6565,0.011,0.06
Acronis,M2M-APP-BC-SPFAMSENS,SPFAMSENS,3.6565,3.4125,9.75
Acronis,MP-SPFAMSENS,SPFAMSENS,3.6565,3.4125,9.75
Acronis,SPFAMSENS,SPFAMSENS,3.6565,3.4125,9.75
Acronis,TASPFAMSEN,SPFAMSENS,3.6565,3.4125,9.75
Acronis,ACB-EUD-M00-TASPGAMSEN,SPGAMSENS,1.704,1.6458,5.07
Acronis,ACB-UKD-M00-TASPGAMSEN,SPGAMSENS,1.704,1.6458,5.07
Acronis,ACB-USD-M00-TASPGAMSEN,SPGAMSENS,1.704,1.6458,5.07
Acronis,APP-BC-SPGAMSENS,SPGAMSENS,1.704,1.6458,5.07
Acronis,BB-ACRONIS-WORKLOAD-BUNDLE,SPGAMSENS,1.704,0.011,0.06
Acronis,M2M-APP-BC-SPGAMSENS,SPGAMSENS,1.704,1.6458,5.07
Acronis,MP-SPGAMSENS,SPGAMSENS,1.704,1.6458,5.07
Acronis,SPGAMSENS,SPGAMSENS,1.704,1.6458,5.07
Acronis,TASPGAMSEN,SPGAMSENS,1.704,1.6458,5.07
Acronis,ACB-USD-M00-TASPIAMSEN,SPIAMSENS,0.6319,0.4873,2.21
Acronis,APP-BC-SPIAMSENS,SPIAMSENS,0.6319,0.4873,2.21
Acronis,BB-ACRONIS-WORKLOAD-BUNDLE,SPIAMSENS,0.6319,0.011,0.06
Acronis,M2M-APP-BC-SPIAMSENS,SPIAMSENS,0.6319,0.4873,2.21
Acronis,SPIAMSENS,SPIAMSENS,0.6319,0.4873,2.21
Acronis,TASPIAMSEN,SPIAMSENS,0.6319,0.4873,2.21
Acronis,APP-BC-SPXAMSENS,SPXAMSENS,0.0239,0.0154,0.07
Acronis,M2M-APP-BC-SPXAMSENS,SPXAMSENS,0.0239,0.0154,0.07
Acronis,MP-SPXAMSENS,SPXAMSENS,0.0239,0.0154,0.07
Acronis,SPXAMSENS,SPXAMSENS,0.0239,0.0154,0.07
Acronis,APP-SPZBMSENS,SPZBMSENS,0.0593,0.0923,0.2
Acronis,SPZBMSENS,SPZBMSENS,0.0593,0.0923,0.2
Acronis,APP-BC-SQ1AMSENS,SQ1AMSENS,0.0239,0.0154,0.07
Acronis,M2M-APP-BC-SQ1AMSENS,SQ1AMSENS,0.0239,0.0154,0.07
Acronis,SQ1AMSENS,SQ1AMSENS,0.0239,0.0154,0.07
Acronis,APP-BC-SQ2AMSENS,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,M2M-APP-BC-SQ2AMSENS,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS / 3PARTYONPREMSEFPRVSG,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS PER GB,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS PER TB,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,SQ2AMSENS PER TB / 3PARTYONPREMSEFPRVSG,SQ2AMSENS,0.0646,0.0371,0.16
Acronis,APP-BC-SQ7AMSENS,SQ7AMSENS,1.87,1.782,5.07
Acronis,M2M-APP-BC-SQ7AMSENS,SQ7AMSENS,1.87,1.782,5.07
