VENDOR,CW_SKU,VENDOR_SKU,SKU_MATCH_KEY,CONTRACT_COST_RATE,CW_RETAIL_RATE,VENDOR_UNIT_PRICE,CW_UNIT_PRICE,MAPPING_NOTES
Acronis,APP-SA-SBATFNLOS,SBATFNLOS,SBATFNLOS,0.6745,0.71,0.71,1.82,Zuora PRODUCT_SKU maps to vendor code SBATFNLOS
Acronis,SBATFNLOS,SBATFNLOS,SBATFNLOS,0.6745,,,,Zuora PRODUCT_SKU maps to vendor code SBATFNLOS
Acronis,APP-SA-SCVAMSENS,SCVAMSENS,SCVAMSENS,0.02,0.008,0.008,0.02,Zuora PRODUCT_SKU maps to vendor code SCVAMSENS
Acronis,SCVAMSENS,SCVAMSENS,SCVAMSENS,,,,,Zuora PRODUCT_SKU maps to vendor code SCVAMSENS
Acronis,APP-BC-SEDAMSENS,SEDAMSENS,SEDAMSENS,1.3775,1.75,1.75,3.9,Zuora PRODUCT_SKU maps to vendor code SEDAMSENS
Acronis,M2M-APP-BC-SEDAMSENS,SEDAMSENS,SEDAMSENS,1.3775,,,,Zuora PRODUCT_SKU maps to vendor code SEDAMSENS
Acronis,SEDAMSENS,SEDAMSENS,SEDAMSENS,1.3775,,,,Zuora PRODUCT_SKU maps to vendor code SEDAMSENS
Acronis,ACB-USD-M00-TASO4AMSEN,SO4AMSENS,SO4AMSENS,1.3348,,,,Zuora PRODUCT_SKU maps to vendor code SO4AMSENS
Acronis,APP-BC-SO4AMSENS,SO4AMSENS,SO4AMSENS,1.3348,1.45,1.45,2.47,Zuora PRODUCT_SKU maps to vendor code SO4AMSENS
Acronis,BB-ACRONIS-ADV-PROTECTION-BUNDLE,SO4AMSENS,SO4AMSENS,1.3348,,,,"ADV-PROTECTION + ""Advanced Email Security / Perception Point"" -> SO4AMSENS"
Acronis,M2M-APP-BC-SO4AMSENS,SO4AMSENS,SO4AMSENS,1.3348,,,,Zuora PRODUCT_SKU maps to vendor code SO4AMSENS
Acronis,SO4AMSENS,SO4AMSENS,SO4AMSENS,1.3348,,,,Zuora PRODUCT_SKU maps to vendor code SO4AMSENS
Acronis,TASO4AMSEN,SO4AMSENS,SO4AMSENS,1.3348,,,,Zuora PRODUCT_SKU maps to vendor code SO4AMSENS
Acronis,APP-SA-SO6AMSENS,SO6AMSENS,SO6AMSENS,0.7243,0.7,0.7,1.69,Zuora PRODUCT_SKU maps to vendor code SO6AMSENS
Acronis,SO6AMSENS,SO6AMSENS,SO6AMSENS,0.7243,,,,Zuora PRODUCT_SKU maps to vendor code SO6AMSENS
Acronis,APP-BC-SP1AMSENS,SP1AMSENS,SP1AMSENS,0.0545,0.0351,0.0351,0.16,Zuora PRODUCT_SKU maps to vendor code SP1AMSENS
Acronis,APP-SA-SP1AMSENS,SP1AMSENS,SP1AMSENS,0.0545,0.0504,0.0504,0.16,Zuora PRODUCT_SKU maps to vendor code SP1AMSENS
Acronis,LEGACYSKUTASP1AMSEN,SP1AMSENS,SP1AMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SP1AMSENS
Acronis,M2M-APP-BC-SP1AMSENS,SP1AMSENS,SP1AMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SP1AMSENS
Acronis,SP1AMSENS,SP1AMSENS,SP1AMSENS,0.0545,0.0,0.0,0.17,Zuora PRODUCT_SKU maps to vendor code SP1AMSENS
Acronis,SP1AMSENS BY GB,SP1AMSENS,SP1AMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SP1AMSENS
Acronis,ACB-CAD-M00-TASP3AMSEN,SP3AMSENS,SP3AMSENS,0.0646,,,,Zuora PRODUCT_SKU maps to vendor code SP3AMSENS
Acronis,APP-BC-SP3AMSENS,SP3AMSENS,SP3AMSENS,0.0646,0.0371,0.0371,0.16,Zuora PRODUCT_SKU maps to vendor code SP3AMSENS
Acronis,SP3AMSENS,SP3AMSENS,SP3AMSENS,0.0646,,,,Zuora PRODUCT_SKU maps to vendor code SP3AMSENS
Acronis,SP3AMSENS PER GB,SP3AMSENS,SP3AMSENS,0.0646,,,,Zuora PRODUCT_SKU maps to vendor code SP3AMSENS
Acronis,SP3AMSENS PER TB,SP3AMSENS,SP3AMSENS,0.0646,,,,Zuora PRODUCT_SKU maps to vendor code SP3AMSENS
Acronis,TASP3AMSEN,SP3AMSENS,SP3AMSENS,0.0646,,,,Zuora PRODUCT_SKU maps to vendor code SP3AMSENS
Acronis,3PARTYONPREMSP4BMSE1,SP4BMSENS,SP4BMSENS,0.0264,,,,Zuora PRODUCT_SKU maps to vendor code SP4BMSENS
Acronis,3PARTYONPREMSP4BMSE2,SP4BMSENS,SP4BMSENS,0.0264,,,,Zuora PRODUCT_SKU maps to vendor code SP4BMSENS
Acronis,APP-BC-SP4BMSENS,SP4BMSENS,SP4BMSENS,0.0264,0.015,0.015,0.09,Zuora PRODUCT_SKU maps to vendor code SP4BMSENS
Acronis,APP-SA-SP4BMSENS,SP4BMSENS,SP4BMSENS,0.0264,0.0259,0.0259,0.09,Zuora PRODUCT_SKU maps to vendor code SP4BMSENS
Acronis,BB-ACRONIS-PER-GB-BUNDLE,SP4BMSENS,SP4BMSENS,0.0264,,,,"BB-ACRONIS-PER-GB-BUNDLE + charge like ""Local Storage (per GB)"" -> SP4BMSENS"
Acronis,M2M-APP-BC-SP4BMSENS,SP4BMSENS,SP4BMSENS,0.0264,,,,Zuora PRODUCT_SKU maps to vendor code SP4BMSENS
Acronis,SP4BMSENS,SP4BMSENS,SP4BMSENS,0.0264,,,,Zuora PRODUCT_SKU maps to vendor code SP4BMSENS
Acronis,SP4BMSENS / 3PARTYONPREMSP4BMSE1,SP4BMSENS,SP4BMSENS,0.0264,,,,Zuora PRODUCT_SKU maps to vendor code SP4BMSENS
Acronis,TBBUHYBRID,SP4BMSENS,SP4BMSENS,0.0264,,,,Zuora PRODUCT_SKU maps to vendor code SP4BMSENS
Acronis,ACB-USD-M00-TASP5AMSEN,SP5AMSENS,SP5AMSENS,0.0113,,,,Zuora PRODUCT_SKU maps to vendor code SP5AMSENS
Acronis,APP-SA-SP5AMSENS,SP5AMSENS,SP5AMSENS,0.0113,0.0105,0.0105,0.05,Zuora PRODUCT_SKU maps to vendor code SP5AMSENS
Acronis,M2M-APP-SA-SP5AMSENS,SP5AMSENS,SP5AMSENS,0.0113,,,,Zuora PRODUCT_SKU maps to vendor code SP5AMSENS
Acronis,SP5AMSENS,SP5AMSENS,SP5AMSENS,0.0113,,,,Zuora PRODUCT_SKU maps to vendor code SP5AMSENS
Acronis,TASP5AMSEN,SP5AMSENS,SP5AMSENS,0.0113,,,,Zuora PRODUCT_SKU maps to vendor code SP5AMSENS
Acronis,3PARTYONPREMACCLDDKT,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,3PARTYONPREMACCLDSV4,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,3PARTYONPREMCLOUDCAP,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,3PARTYONPREMCLOUDCAP / ACRONISCLOUDHOSTSTND,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,ACB-CAD-M00-TASPBAMSEN,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,ACB-USD-M00-TASPBAMSEN,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,ACRONISCLOUDHOSTSTND,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,APP-BC-SPBAMSENS,SPBAMSENS,SPBAMSENS,0.0545,0.0351,0.0351,0.16,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,BB-ACRONIS-PER-GB-BUNDLE,SPBAMSENS,SPBAMSENS,0.0545,,,,"BB-ACRONIS-PER-GB-BUNDLE + charge like ""Hosted Storage (per GB)"" -> SPBAMSENS"
Acronis,M2M-APP-BC-SPBAMSENS,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,MP-SPBAMSENS,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,SPBAMSENS,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,SPBAMSENS / 3PARTYONPREMCLOUDCAP,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,SPBAMSENS / 3PARTYONPREMCLOUDCAP / ACRONISCLOUDHOSTSTND,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,SPBAMSENS/3PARTYONPREMCLOUDCAP,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,TASPBAMSEN,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,TBBUHYBRID,SPBAMSENS,SPBAMSENS,0.0545,,,,Zuora PRODUCT_SKU maps to vendor code SPBAMSENS
Acronis,APP-BC-SPBBMSENS,SPBBMSENS,SPBBMSENS,0.0313,0.0338,0.0338,0.1,Zuora PRODUCT_SKU maps to vendor code SPBBMSENS
Acronis,M2M-APP-BC-SPBBMSENS,SPBBMSENS,SPBBMSENS,0.0313,,,,Zuora PRODUCT_SKU maps to vendor code SPBBMSENS
Acronis,SELFPROVIDEDSTORAGE,SPBBMSENS,SPBBMSENS,0.0313,,,,Zuora PRODUCT_SKU maps to vendor code SPBBMSENS
Acronis,SPBBMSENS,SPBBMSENS,SPBBMSENS,0.0313,,,,Zuora PRODUCT_SKU maps to vendor code SPBBMSENS
Acronis,ACB-USD-M00-TASPD5MSEN,SPD5MSENS,SPD5MSENS,7.06,,,,Zuora PRODUCT_SKU maps to vendor code SPD5MSENS
Acronis,APP-SA-SPD5MSENS,SPD5MSENS,SPD5MSENS,7.06,8.0,8.0,20.8,Zuora PRODUCT_SKU maps to vendor code SPD5MSENS
Acronis,M2M-APP-SA-SPD5MSENS,SPD5MSENS,SPD5MSENS,7.06,,,,Zuora PRODUCT_SKU maps to vendor code SPD5MSENS
Acronis,SPD5MSENS,SPD5MSENS,SPD5MSENS,7.06,,,,Zuora PRODUCT_SKU maps to vendor code SPD5MSENS
Acronis,TASPD5MSEN,SPD5MSENS,SPD5MSENS,7.06,,,,Zuora PRODUCT_SKU maps to vendor code SPD5MSENS
Acronis,ACB-EUD-M00-TASPDAMSEN,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,ACB-UKD-M00-TASPDAMSEN,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,ACB-USD-M00-TASPDAMSEN,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,APP-BC-SPDAMSENS,SPDAMSENS,SPDAMSENS,0.0148,0.011,0.011,0.06,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,BB-ACRONIS-WORKLOAD-BUNDLE,SPDAMSENS,SPDAMSENS,0.0148,,,,"BB-ACRONIS-WORKLOAD-BUNDLE + charge like ""Acronis Hosted Storage for (per Workload)"" -> SPDAMSENS"
Acronis,M2M-APP-BC-SPDAMSENS,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,SPDAMSENS,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,SPDAMSENS1GB,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,SPDAMSENS1GB / SPDAMSENSBUCLD1TB,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,SPDAMSENS1GB/SPDAMSENSBUCLD1TB,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,SPDAMSENSBUCLD1TB,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,SPDAMSENSOverage,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,TASPDAMSEN,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,UNMATCHED,SPDAMSENS,SPDAMSENS,0.0148,,,,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,ACB-USD-M00-TASPDCMSEN,SPDCMSENS,SPDCMSENS,,,,,Zuora PRODUCT_SKU maps to vendor code SPDCMSENS
Acronis,APP-SA-SPDCMSENS,SPDCMSENS,SPDCMSENS,,,0.0,0.0,Zuora PRODUCT_SKU maps to vendor code SPDCMSENS
Acronis,M2M-APP-SA-SPDCMSENS,SPDCMSENS,SPDCMSENS,,,,,Zuora PRODUCT_SKU maps to vendor code SPDCMSENS
Acronis,SPDCMSENS,SPDCMSENS,SPDCMSENS,,,,,Zuora PRODUCT_SKU maps to vendor code SPDCMSENS
Acronis,UNMATCHED,SPDCMSENS,SPDCMSENS,,,,,Zuora PRODUCT_SKU maps to vendor code SPDCMSENS
Acronis,ACB-EUD-M00-TASPEAMSEN,SPEAMSENS,SPEAMSENS,10.3731,,,,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,ACB-UKD-M00-TASPEAMSEN,SPEAMSENS,SPEAMSENS,10.3731,,,,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,ACB-USD-M00-TASPEAMSEN,SPEAMSENS,SPEAMSENS,10.3731,,,,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,APP-BC-SPEAMSENS,SPEAMSENS,SPEAMSENS,10.3731,8.7467,8.7467,31.2,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,BB-ACRONIS-WORKLOAD-BUNDLE,SPEAMSENS,SPEAMSENS,10.3731,,,,"WORKLOAD + ""Server"" -> SPEAMSENS"
Acronis,M2M-APP-BC-SPEAMSENS,SPEAMSENS,SPEAMSENS,10.3731,,,,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,MP-SPEAMSENS,SPEAMSENS,SPEAMSENS,10.3731,,,,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,SPEAMSENS,SPEAMSENS,SPEAMSENS,10.3731,,,,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,TASPEAMSEN,SPEAMSENS,SPEAMSENS,10.3731,,,,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,UNMATCHED,SPEAMSENS,SPEAMSENS,10.3731,,,,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,UNMATCHED,SPEAMSENS,SPEAMSENS,10.3731,,,,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,ACB-UKD-M00-TASPFAMSEN,SPFAMSENS,SPFAMSENS,3.6565,,,,Zuora PRODUCT_SKU maps to vendor code SPFAMSENS
Acronis,ACB-USD-M00-TASPFAMSEN,SPFAMSENS,SPFAMSENS,3.6565,,,,Zuora PRODUCT_SKU maps to vendor code SPFAMSENS
Acronis,APP-BC-SPFAMSENS,SPFAMSENS,SPFAMSENS,3.6565,3.4125,3.4125,9.75,Zuora PRODUCT_SKU maps to vendor code SPFAMSENS
