vendor,cw_sku,sku_match_key,mapping_notes
Acronis,APP-SA-SCVAMSENS,SCVAMSENS,Zuora PRODUCT_SKU maps to vendor code SCVAMSENS
Acronis,SCVAMSENS,SCVAMSENS,Zuora PRODUCT_SKU maps to vendor code SCVAMSENS
Acronis,UNMATCHED,SPDAMSENS,Zuora PRODUCT_SKU maps to vendor code SPDAMSENS
Acronis,UNMATCHED,SPDCMSENS,Zuora PRODUCT_SKU maps to vendor code SPDCMSENS
Acronis,UNMATCHED,SPEAMSENS,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,UNMATCHED,SPEAMSENS,Zuora PRODUCT_SKU maps to vendor code SPEAMSENS
Acronis,UNMATCHED,SPGAMSENS,Zuora PRODUCT_SKU maps to vendor code SPGAMSENS
Acronis,UNMATCHED,SPIAMSENS,Zuora PRODUCT_SKU maps to vendor code SPIAMSENS
Acronis,APP-BC-SQ6AMSENS,SQ6AMSENS,Zuora PRODUCT_SKU maps to vendor code SQ6AMSENS
Acronis,M2M-APP-BC-SQ6AMSENS,SQ6AMSENS,Zuora PRODUCT_SKU maps to vendor code SQ6AMSENS
Acronis,SQ6AMSENS,SQ6AMSENS,Zuora PRODUCT_SKU maps to vendor code SQ6AMSENS
Acronis,UNMATCHED,SRI5MSENS,Zuora PRODUCT_SKU maps to vendor code SRI5MSENS
Acronis,UNMATCHED,SRIAMSENS,Zuora PRODUCT_SKU maps to vendor code SRIAMSENS
Acronis,UNMATCHED,SRJAMSENS,Zuora PRODUCT_SKU maps to vendor code SRJAMSENS
Acronis,APP-BC-SVVAMSENS,SVVAMSENS,Zuora PRODUCT_SKU maps to vendor code SVVAMSENS
Acronis,BC-SVVAMSENS,SVVAMSENS,Zuora PRODUCT_SKU maps to vendor code SVVAMSENS
Acronis,M2M-APP-BC-SVVAMSENS,SVVAMSENS,Zuora PRODUCT_SKU maps to vendor code SVVAMSENS
Acronis,SVVAMSENS,SVVAMSENS,Zuora PRODUCT_SKU maps to vendor code SVVAMSENS
Bitdefender,BTS-AUD-M01-TADL17106A,ATS,Pattern-matched from royalties product_description.
Bitdefender,BTS-CAD-M01-TADL17106A,ATS,Pattern-matched from royalties product_description.
Bitdefender,BTS-UKD-M01-TADL17106A,ATS,Pattern-matched from royalties product_description.
Bitdefender,BTS-USD-M01-TADL17106A,ATS,Pattern-matched from royalties product_description.
Bitdefender,BTS-USD-M02-TADL17106A,ATS,Pattern-matched from royalties product_description.
Bitdefender,BTS-USD-M03-TADL17106A,ATS,Pattern-matched from royalties product_description.
Bitdefender,BTS-USD-M04-TADL17106A,ATS,Pattern-matched from royalties product_description.
Bitdefender,CU-BITDF-ADV-THREAT,ATS,Advanced Threat Security standalone.
