month,file_count,entities,tenants,kept_rows_total,dropped_non_billable,dropped_folder,dropped_root_row,ASIO Data_kept_rows,ASIO Data_raw_rows,Data_kept_rows,Data_raw_rows,error
2026-01,18.0,11.0,510.0,2665.0,28566.0,403.0,309.0,1455.0,14128.0,1210.0,17892.0,
2026-02,18.0,11.0,502.0,2639.0,28268.0,395.0,307.0,1445.0,14039.0,1194.0,17647.0,
2026-03,24.0,16.0,500.0,2646.0,29223.0,455.0,339.0,1483.0,14612.0,1163.0,18127.0,
2026-04,22.0,14.0,486.0,2597.0,28653.0,452.0,333.0,1471.0,14482.0,1126.0,17626.0,
2026-05,22.0,14.0,442.0,2471.0,27405.0,452.0,324.0,1441.0,14318.0,1030.0,16405.0,
2026-06,22.0,13.0,437.0,2414.0,27121.0,446.0,318.0,1402.0,14046.0,1012.0,16323.0,
2026-07,23.0,14.0,431.0,2385.0,27019.0,452.0,322.0,1381.0,13909.0,1004.0,16340.0,
2026-08,,,,,,,,,,,,"No folder found for 2026-08 under C:\Users\Nate.Fold\OneDrive - ConnectWise, Inc\THIRD_PARTY_RECONCILIATION\Manual Recon Files 2026\Acronis"
2026-09,,,,,,,,,,,,"No folder found for 2026-09 under C:\Users\Nate.Fold\OneDrive - ConnectWise, Inc\THIRD_PARTY_RECONCILIATION\Manual Recon Files 2026\Acronis"
2026-10,,,,,,,,,,,,"No folder found for 2026-10 under C:\Users\Nate.Fold\OneDrive - ConnectWise, Inc\THIRD_PARTY_RECONCILIATION\Manual Recon Files 2026\Acronis"
2026-11,,,,,,,,,,,,"No folder found for 2026-11 under C:\Users\Nate.Fold\OneDrive - ConnectWise, Inc\THIRD_PARTY_RECONCILIATION\Manual Recon Files 2026\Acronis"
2026-12,,,,,,,,,,,,"No folder found for 2026-12 under C:\Users\Nate.Fold\OneDrive - ConnectWise, Inc\THIRD_PARTY_RECONCILIATION\Manual Recon Files 2026\Acronis"
