VENDOR,VENDOR_PRODUCT,VENDOR_SKU,CW_SKU,SKU_MATCH_KEY,MAPPING_NOTES,CONTRACT_COST_RATE,CW_RETAIL_RATE
Webroot,SDNS,1000063236,WSADNSP,DNS,OpenText Core DNS Protection | CW product=Webroot GSM integrated Webroot SecureAnywhere DNS,,
Webroot,SDNS,1000063236,WSADNSPSTANDAL-00001,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 1-99 EPs,0.42,1.35
Webroot,SDNS,1000063236,3P-SAAS30021100FFDNS,DNS,OpenText Core DNS Protection | CW product=Webroot DNS_Not Use,,
Webroot,SDNS,1000063236,M2MSAAS30021010FFDNS,DNS,OpenText Core DNS Protection | CW product=M2M-ConnectWise SIEM Webroot DNS,,
Webroot,SDNS,1000063236,MP-SECUREANYWHEREDNS,DNS,OpenText Core DNS Protection | CW product=MP-Webroot SecureAnywhere DNS,,
Webroot,SDNS,1000063236,SWO-EG-CYBR-SOLP-SAAS-30021010,DNS,OpenText Core DNS Protection | CW product=EVG Webroot DNS Protection,,
Webroot,SDNS,1000063236,SwO-3P-CYBR-SOLP-SAAS-30021010,DNS,OpenText Core DNS Protection | CW product=SwO Webroot DNS Protection,,1.75
Webroot,SDNS,1000063236,WSADNSP-IIT,DNS,OpenText Core DNS Protection | CW product=Webroot GSM integrated Webroot SecureAnywhere DNS - IIT,,
Webroot,SDNS,1000063236,WSADNSPSTANDAL-00750,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 750-999 EPs,0.42,1.0
Webroot,SDNS,1000063236,WSADNSPSTANDAL-01000,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 1000-2499 EPs,0.42,0.89
Webroot,SDNS,1000063236,WSADNSPSTANDAL-05000,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 5000-9999 EPs,0.42,0.76
Webroot,SDNS,1000063236,WSADNSPSTANDAL-10000,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 10000-19999 EPs,0.42,0.7
Webroot,SDNS,1000063236,WSADNSPSTANDAL-20000,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 20000+ EPs,0.42,0.59
Webroot,SAEP,1000062533,CU-WEBROOT-EPP-RMM,GSM,OpenText Core Endpoint Protection | CW product=Webroot Endpoint Protection- for CW RMM,0.52,0.63
Proofpoint,Business +,PP-ESS-BUS2,M2M-CU-PP-ESS-BUS-PLUS,Business +,,1.3377,
Proofpoint,Beginner,PP-ESS-BEG,CU-PP-ESS-BEG,Beginner,,0.6314,
Proofpoint,Business,PP-ESS-BUS,CU-PP-ESS-BUS,Business,,1.1951,1.21
Proofpoint,Advanced OEM,PP-ESS-CWTPS,SWO-EG-CYBR-OTHR-SAAS-EMSECADV,OEM,,2.04,
Proofpoint,Advanced +,PP-ESS-ADV2,M2M-CU-PP-ESS-ADV-PLUS,Advanced +,,1.9794,
Proofpoint,Business +,PP-ESS-BUS2,PP-ESS-BUS-PLUS,Business +,,1.3377,
Proofpoint,Beginner,PP-ESS-BEG,PP-ESS-BEG,Beginner,,0.6314,
Proofpoint,Basic OEM,PP-ESS-CWADV,SWO-EG-CYBR-OTHR-SAAS-EMSECESS,OEM,,1.4836,
Proofpoint,Professional,PP-ESS-PRO,CU-PP-ESS-PRO,Professional,,2.3388,2.34
Proofpoint,Advanced +,PP-ESS-ADV2,SwO-3P-CYBR-SOLP-ESS-ADV2,Advanced +,,1.9794,
Proofpoint,Advanced,PP-ESS-ADV,CMS-EG-CYBER-SOLP-SAAS-PPESSADV,Advanced,,1.6432,
Proofpoint,Business,PP-ESS-BUS,M2M-CU-PP-ESS-BUS,Business,,1.1951,
Proofpoint,Business,PP-ESS-BUS,PP-ESS-BUS,Business,,1.1951,
Proofpoint,Advanced +,PP-ESS-ADV2,SWO-EG-CYBR-SOLP-ESS-ADV2,Advanced +,,1.9794,
Proofpoint,Advanced +,PP-ESS-ADV2,CU-PP-ESS-ADV-PLUS,Advanced +,,1.9794,2.05
Proofpoint,Professional,PP-ESS-PRO,PP-ESS-PRO,Professional,,2.3388,
Proofpoint,Advanced OEM,PP-ESS-CWTPS,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,OEM,,2.04,
Proofpoint,Business +,PP-ESS-BUS2,CU-PP-ESS-BUS-PLUS,Business +,,1.3377,1.34
Proofpoint,Beginner,PP-ESS-BEG,M2M-CU-PP-ESS-BEG,Beginner,,0.6314,
Proofpoint,Advanced +,PP-ESS-ADV2,PP-ESS-ADV-PLUS,Advanced +,,1.9794,
Proofpoint,Basic OEM,PP-ESS-CWADV,CWP-IH-CYBR-OTHR-SAAS-EMSECESS,OEM,,1.4836,
Proofpoint,Advanced,PP-ESS-ADV,M2M-CU-PP-ESS-ADV,Advanced,,1.6432,1.65
Proofpoint,Advanced,PP-ESS-ADV,CU-PP-ESS-ADV,Advanced,,1.6432,1.65
Proofpoint,Advanced,PP-ESS-ADV,PP-ESS-ADV,Advanced,,1.6432,
Proofpoint,Professional +,PP-ESS-PRO2,PP-ESS-PRO-PLUS,Professional +,,2.74,
Proofpoint,Professional +,PP-ESS-PRO2,SwO-3P-CYBR-SOLP-SAAS-PROFPLUS,Professional +,,2.74,
Proofpoint,Security Awareness,PP-ESS-PSAT-A,PP-ESS-PSAT-A,Security Awareness,,0.5495,
Proofpoint,Professional +,PP-ESS-PRO2,CU-PP-ESS-PRO-PLUS,Professional +,,2.74,2.74
Proofpoint,Professional +,PP-ESS-PRO2,M2M-CU-PP-ESS-PRO-PLUS,Professional +,,2.74,
Proofpoint,Professional +,PP-ESS-PRO2,SWO-EG-CYBR-SOLP-SAAS-PROFPLUS,Professional +,,2.74,
Proofpoint,Professional,PP-ESS-PRO,M2M-CU-PP-ESS-PRO,Professional,,2.3388,
Proofpoint,Security Awareness,PP-ESS-PSAT-A,CU-PP-ESS-PSAT-A,Security Awareness,,0.5495,0.55
Proofpoint,Security Awareness,PP-ESS-PSAT-A,M2M-CU-PP-ESS-PSAT-A,Security Awareness,,0.5495,
SentinelOne,Core,,UNMAPPED,CORE,SentinelOne does not invoice Core as a separate SKU; kept as its own group so it does not silently inflate CONTROL.,,
SentinelOne,RSO,SP-RSO-ND-T1-C,SP-RSO-ND-T1-C,REMOTEOPS,S1 RemoteOps,0.6,0.3
SentinelOne,RSO,SP-RSO-ND-T1-C,M2M-SP-RSO-ND-T1-C,REMOTEOPS,M2M,,
SentinelOne,RSO,SP-RSO-ND-T1-C,SA-SP-RSO-ND-T1-C,REMOTEOPS,SA,,
SentinelOne,RSO,SP-RSO-ND-T1-C,SwO-3P-CYBR-SOLP-SAAS-RSONDT1C,REMOTEOPS,SwO 3P,,
SentinelOne,RSO,SP-RSO-ND-T1-C,SWO-EG-CYBR-SOLP-SAAS-RSONDT1C,REMOTEOPS,SwO EG,,
SentinelOne,Forensics,SP-FOR-ND-T1-SA,SP-RSO-ND-T1-C,REMOTEOPS,S1 RemoteOps Forensics (SP-FOR-ND-T1-SA at $0.30) = CW RemoteOps (SP-RSO-ND-T1-C at $0.60 retail). Same product. Reconciles Forensics vendor qty against CW RSO billing.,0.6,0.3
SentinelOne,Ranger Insights,SP-RGI-ND-T2-SA,UNMAPPED,RANGER_INSIGHTS,Singularity Vulnerability Management. Separately invoiced by SentinelOne; no CW-side SKU today.,0.75,
SentinelOne,Ranger AD,SP-RAD-US-T2-SA,UNMAPPED,RANGER_AD,Singularity Ranger AD. First appears on Jun 2026 invoice; no CW SKU today.,0.55,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,CUSERVOTHRFFEPSECPRM,COMPLETE,Fortify Endpoint Premium,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,SENTINELONE-COMPLETE,COMPLETE,SentinelOne Complete 3P,1.01,1.01
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,M2M-SENTINELONE-COMPLETE,COMPLETE,M2M,1.01,1.01
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,M2MSENTINEL1-COMPLET,COMPLETE,Legacy M2M,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,M2MSEROTHRFFEPSECPRM,COMPLETE,M2M MDR Premium,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,SwO-3P-CYBR-SOLP-SAAS-S1CMPLET,COMPLETE,SwO 3P,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,SWO-EG-CYBR-SOLP-SAAS-S1CMPLET,COMPLETE,SwO EG,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,SwO-EG-CYBR-SIEM-SAAS-EPSECADV,COMPLETE,SwO EG SIEM,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,SwO-IH-CYBR-SIEM-SAAS-EPSECADV,COMPLETE,SwO IH SIEM,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,CMS-EG-CYBER-MDR-SAAS-EPSECPRM,COMPLETE,CMS MDR Premium,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,CU-3P-SAASS1Complete,COMPLETE,CU 3P,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,CU-S1-COMPLETE-BYOL,COMPLETE,BYOL,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,CU_S1_COMPLETE_BYOL,COMPLETE,BYOL underscore,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,CW-S1COMPLETE-IIT,COMPLETE,IIT,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,CWSENTINEL1-COMPLETE,COMPLETE,Legacy CW,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,DR-S1COMPLETE-IIT,COMPLETE,DR IIT,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,TA-SENTINELONE-COMPLETE,COMPLETE,TA,1.01,1.01
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,TA-CW-MDR-SENTINELONE-PREM,COMPLETE,TA MDR Premium,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,UNMAPPED,COMPLETE,Complete Tier 2 variant on Jan and Apr invoices; same COMPLETE group.,1.01,
SentinelOne,Complete,S1ES-CMP-EN-T8-SA,S1COMPLETEONBOARDING,COMPLETE,One-time Complete onboarding SKU billed via Zuora; not on vendor invoice.,1.01,
