VENDOR_PARTNER_NAME,FINAL_SF_ID,BILLING_MONTH,VENDOR_QTY,ABS_QTY_DELTA,ZUORA_ROWS_ANY_SKU,ZUORA_ROWS_OEM_SKU,MARKETPLACE_ROWS_ANY_SKU,OVERLAP_SKU_COUNT,OVERLAP_SKUS,ROOT_CAUSE
"Merit Technologies, LLC",ACT-00057478,2026-06-01,307.0000,307.0,0,0,2,0,,OTHER_REVIEW
Resultant,ACT-00209208,2026-03-01,260.0000,260.0,2,0,2,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Resultant,ACT-00209208,2026-04-01,254.0000,254.0,2,0,2,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
American Products,ACT-00336835,2026-06-01,201.0000,201.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
Windsor Telecom,ACT-00107433,2026-06-01,173.0000,173.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
Windsor Telecom,ACT-00107433,2026-04-01,115.0000,115.0,0,0,0,0,,NO_BILLING_IN_EITHER_SOURCE
Windsor Telecom,ACT-00107433,2026-05-01,108.0000,108.0,1,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
iwerk,ACT-00052393,2026-06-01,55.0000,55.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
iwerk,ACT-00052393,2026-03-01,55.0000,55.0,3,0,4,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
iwerk,ACT-00052393,2026-05-01,54.0000,54.0,3,0,2,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
iwerk,ACT-00052393,2026-04-01,54.0000,54.0,3,0,3,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
iwerk,ACT-00052393,2026-02-01,54.0000,54.0,3,0,4,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Libra ICT,ACT-00237872,2026-02-01,49.0000,49.0,3,0,7,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Libra ICT,ACT-00237872,2026-01-01,49.0000,49.0,3,0,7,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Libra ICT,ACT-00237872,2026-03-01,45.0000,45.0,4,0,4,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Libra ICT,ACT-00237872,2026-04-01,44.0000,44.0,4,0,4,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Red Mosquito,ACT-00170291,2026-06-01,37.0000,37.0,2,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Umbrella Technologies,ACT-00208029,2026-03-01,22.0000,22.0,2,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Umbrella Technologies,ACT-00208029,2026-06-01,22.0000,22.0,2,0,2,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Umbrella Technologies,ACT-00208029,2026-05-01,22.0000,22.0,2,0,2,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Umbrella Technologies,ACT-00208029,2026-04-01,22.0000,22.0,2,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Umbrella Technologies,ACT-00208029,2026-01-01,22.0000,22.0,2,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
Umbrella Technologies,ACT-00208029,2026-02-01,21.0000,21.0,2,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
ROCK | IT Consultancy Services,ACT-00246372,2026-03-01,15.0000,15.0,3,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
ROCK | IT Consultancy Services,ACT-00246372,2026-02-01,15.0000,15.0,3,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
"Source One Business Services, LLC",ACT-00061482,2026-02-01,12.0000,12.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
"Source One Business Services, LLC",ACT-00061482,2026-01-01,12.0000,12.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
"Source One Business Services, LLC",ACT-00061482,2026-06-01,12.0000,12.0,3,0,0,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
HighPoint Medical,ACT-00086725,2026-05-01,11.0000,11.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
HighPoint Medical,ACT-00086725,2026-03-01,11.0000,11.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
HighPoint Medical,ACT-00086725,2026-04-01,11.0000,11.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
HighPoint Medical,ACT-00086725,2026-06-01,11.0000,11.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
ROCK | IT Consultancy Services,ACT-00246372,2026-01-01,11.0000,11.0,3,0,1,0,,BILLING_EXISTS_ACCOUNT_MONTH_BUT_NO_SKU_OVERLAP
