VENDOR_PARTNER_NAME,FINAL_SF_ID,BILLING_MONTH,VENDOR_QTY,BILLING_QTY,QTY_DELTA,BILLING_TO_VENDOR_RATIO,HAS_BASIC_OEM,HAS_ADVANCED_OEM,ROW_COUNT,ROOT_CAUSE_HINT
Pearson-Kelly Office Products,ACT-00192264,2026-04-01,6.0000,458.0,452.0,76.333,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Pearson-Kelly Office Products,ACT-00192264,2026-05-01,27.0000,458.0,431.0,16.963,1,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Founders IT Group,ACT-00431740,2026-04-01,468.0000,878.0,410.0,1.876,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Founders IT Group,ACT-00431740,2026-06-01,521.0000,931.0,410.0,1.787,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Founders IT Group,ACT-00431740,2026-05-01,484.0000,894.0,410.0,1.847,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Inc-Sys,ACT-00156104,2026-02-01,5.0000,335.0,330.0,67.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
"Mortgage Tech Assist, LLC",ACT-00286701,2026-06-01,522.0000,850.0,328.0,1.628,1,1,2,MIXED_OEM_PRODUCTS_COLLAPSED
Fortified Solutions,ACT-00316982,2026-03-01,283.0000,533.0,250.0,1.883,0,1,1,GENERAL_OVERAGE
P5 Ventures,ACT-00383495,2026-06-01,279.0000,482.0,203.0,1.728,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
P5 Ventures,ACT-00383495,2026-02-01,217.0000,420.0,203.0,1.935,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
P5 Ventures,ACT-00383495,2026-05-01,273.0000,476.0,203.0,1.744,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
P5 Ventures,ACT-00383495,2026-04-01,216.0000,419.0,203.0,1.94,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
P5 Ventures,ACT-00383495,2026-03-01,213.0000,416.0,203.0,1.953,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
P5 Ventures,ACT-00383495,2026-01-01,212.0000,415.0,203.0,1.958,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
"Mortgage Tech Assist, LLC",ACT-00286701,2026-05-01,301.0000,502.0,201.0,1.668,1,1,2,MIXED_OEM_PRODUCTS_COLLAPSED
Pearson-Kelly Office Products,ACT-00192264,2026-06-01,258.0000,458.0,200.0,1.775,1,1,1,MIXED_OEM_PRODUCTS_COLLAPSED
"Sieve Networks, Inc.",ACT-00240125,2026-01-01,40.0000,175.0,135.0,4.375,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
"Sieve Networks, Inc.",ACT-00240125,2026-02-01,41.0000,175.0,134.0,4.268,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
"Sieve Networks, Inc.",ACT-00240125,2026-03-01,41.0000,175.0,134.0,4.268,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Boys and Girls Club of Greater Houston,ACT-00455419,2026-05-01,218.0000,350.0,132.0,1.606,0,1,1,GENERAL_OVERAGE
Boys and Girls Club of Greater Houston,ACT-00455419,2026-06-01,232.0000,350.0,118.0,1.509,0,1,1,GENERAL_OVERAGE
Fortified Solutions,ACT-00316982,2026-04-01,134.0000,250.0,116.0,1.866,0,1,1,GENERAL_OVERAGE
Fortified Solutions,ACT-00316982,2026-05-01,137.0000,250.0,113.0,1.825,0,1,1,GENERAL_OVERAGE
BalsamTechnologies,ACT-00108589,2026-06-01,268.0000,376.0,108.0,1.403,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
BalsamTechnologies,ACT-00108589,2026-05-01,271.0000,376.0,105.0,1.387,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Spruce IT Cloud Solutions LLC,ACT-00050812,2026-06-01,245.0000,350.0,105.0,1.429,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
BIT Solution,ACT-00265547,2026-04-01,375.0000,475.0,100.0,1.267,0,1,1,GENERAL_OVERAGE
BIT Solution,ACT-00265547,2026-05-01,378.0000,478.0,100.0,1.265,0,1,1,GENERAL_OVERAGE
BIT Solution,ACT-00265547,2026-06-01,389.0000,489.0,100.0,1.257,0,1,1,GENERAL_OVERAGE
BIT Solution,ACT-00265547,2026-01-01,352.0000,452.0,100.0,1.284,0,1,1,GENERAL_OVERAGE
BIT Solution,ACT-00265547,2026-02-01,362.0000,462.0,100.0,1.276,0,1,1,GENERAL_OVERAGE
BIT Solution,ACT-00265547,2026-03-01,367.0000,467.0,100.0,1.272,0,1,1,GENERAL_OVERAGE
Inc-Sys,ACT-00156104,2026-03-01,245.0000,335.0,90.0,1.367,0,1,1,GENERAL_OVERAGE
Inc-Sys,ACT-00156104,2026-06-01,247.0000,335.0,88.0,1.356,0,1,1,GENERAL_OVERAGE
Inc-Sys,ACT-00156104,2026-04-01,250.0000,335.0,85.0,1.34,0,1,1,GENERAL_OVERAGE
Inc-Sys,ACT-00156104,2026-05-01,255.0000,335.0,80.0,1.314,0,1,1,GENERAL_OVERAGE
PC Integrated Solutions,ACT-00253103,2026-06-01,4.0000,80.0,76.0,20.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
PSI Molded Plastics,ACT-00431997,2026-04-01,129.0000,200.0,71.0,1.55,0,1,1,GENERAL_OVERAGE
PSI Molded Plastics,ACT-00431997,2026-05-01,130.0000,200.0,70.0,1.538,0,1,1,GENERAL_OVERAGE
PSI Molded Plastics,ACT-00431997,2026-03-01,130.0000,200.0,70.0,1.538,0,1,1,GENERAL_OVERAGE
PSI Molded Plastics,ACT-00431997,2026-06-01,136.0000,200.0,64.0,1.471,0,1,1,GENERAL_OVERAGE
PSI Molded Plastics,ACT-00431997,2026-02-01,139.0000,200.0,61.0,1.439,0,1,1,GENERAL_OVERAGE
VMG Strategic Consulting,ACT-00083139,2026-02-01,78.0000,138.0,60.0,1.769,0,1,1,GENERAL_OVERAGE
VMG Strategic Consulting,ACT-00083139,2026-06-01,374.0000,434.0,60.0,1.16,0,1,1,GENERAL_OVERAGE
VMG Strategic Consulting,ACT-00083139,2026-05-01,226.0000,286.0,60.0,1.265,0,1,1,GENERAL_OVERAGE
VMG Strategic Consulting,ACT-00083139,2026-04-01,151.0000,211.0,60.0,1.397,0,1,1,GENERAL_OVERAGE
PSI Molded Plastics,ACT-00431997,2026-01-01,141.0000,200.0,59.0,1.418,0,1,1,GENERAL_OVERAGE
Networx,ACT-00133156,2026-03-01,59.0000,118.0,59.0,2.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
"Sieve Networks, Inc.",ACT-00240125,2026-06-01,117.0000,175.0,58.0,1.496,1,1,1,MIXED_OEM_PRODUCTS_COLLAPSED
"Sieve Networks, Inc.",ACT-00240125,2026-05-01,118.0000,175.0,57.0,1.483,1,1,1,MIXED_OEM_PRODUCTS_COLLAPSED
"Sieve Networks, Inc.",ACT-00240125,2026-04-01,122.0000,175.0,53.0,1.434,1,1,1,MIXED_OEM_PRODUCTS_COLLAPSED
Pegasus Technology Pty Ltd,ACT-00232225,2026-05-01,1.0000,50.0,49.0,50.0,1,0,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Elite Pro Solutions,ACT-00059356,2026-03-01,1.0000,50.0,49.0,50.0,1,0,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Elite Pro Solutions,ACT-00059356,2026-06-01,1.0000,50.0,49.0,50.0,1,0,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Elite Pro Solutions,ACT-00059356,2026-02-01,1.0000,50.0,49.0,50.0,1,0,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Pegasus Technology Pty Ltd,ACT-00232225,2026-06-01,1.0000,50.0,49.0,50.0,1,0,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Elite Pro Solutions,ACT-00059356,2026-04-01,1.0000,50.0,49.0,50.0,1,0,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Elite Pro Solutions,ACT-00059356,2026-05-01,1.0000,50.0,49.0,50.0,1,0,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Elite Pro Solutions,ACT-00059356,2026-01-01,1.0000,50.0,49.0,50.0,1,0,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
RWAM Insurance Administrators Inc.,ACT-00413818,2026-05-01,134.0000,180.0,46.0,1.343,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
RWAM Insurance Administrators Inc.,ACT-00413818,2026-06-01,134.0000,180.0,46.0,1.343,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Marksmen General Contractors,ACT-00449000,2026-01-01,16.0000,60.0,44.0,3.75,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
RWAM Insurance Administrators Inc.,ACT-00413818,2026-03-01,136.0000,180.0,44.0,1.324,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
"Mortgage Tech Assist, LLC",ACT-00286701,2026-01-01,63.0000,107.0,44.0,1.698,0,1,1,GENERAL_OVERAGE
Marksmen General Contractors,ACT-00449000,2026-05-01,17.0000,60.0,43.0,3.529,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Marksmen General Contractors,ACT-00449000,2026-03-01,17.0000,60.0,43.0,3.529,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
RWAM Insurance Administrators Inc.,ACT-00413818,2026-01-01,137.0000,180.0,43.0,1.314,0,1,1,GENERAL_OVERAGE
Marksmen General Contractors,ACT-00449000,2026-06-01,17.0000,60.0,43.0,3.529,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Marksmen General Contractors,ACT-00449000,2026-02-01,17.0000,60.0,43.0,3.529,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Marksmen General Contractors,ACT-00449000,2026-04-01,17.0000,60.0,43.0,3.529,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
RWAM Insurance Administrators Inc.,ACT-00413818,2026-02-01,138.0000,180.0,42.0,1.304,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
RWAM Insurance Administrators Inc.,ACT-00413818,2026-04-01,138.0000,180.0,42.0,1.304,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Networx,ACT-00133156,2026-02-01,58.0000,96.0,38.0,1.655,0,1,1,GENERAL_OVERAGE
"Mortgage Tech Assist, LLC",ACT-00286701,2026-02-01,72.0000,107.0,35.0,1.486,0,1,1,GENERAL_OVERAGE
PSI (Protection Strategies Incorporated),ACT-00459229,2026-03-01,1.0000,35.0,34.0,35.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
PSI (Protection Strategies Incorporated),ACT-00459229,2026-04-01,1.0000,35.0,34.0,35.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
PSI (Protection Strategies Incorporated),ACT-00459229,2026-02-01,1.0000,35.0,34.0,35.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
PSI (Protection Strategies Incorporated),ACT-00459229,2026-06-01,1.0000,35.0,34.0,35.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
PSI (Protection Strategies Incorporated),ACT-00459229,2026-05-01,1.0000,35.0,34.0,35.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Tri Sigma National Sorority,ACT-00449254,2026-06-01,1.0000,34.0,33.0,34.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Tri Sigma National Sorority,ACT-00449254,2026-02-01,1.0000,34.0,33.0,34.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Tri Sigma National Sorority,ACT-00449254,2026-05-01,1.0000,34.0,33.0,34.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Tri Sigma National Sorority,ACT-00449254,2026-04-01,1.0000,34.0,33.0,34.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Tri Sigma National Sorority,ACT-00449254,2026-03-01,1.0000,34.0,33.0,34.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Tri Sigma National Sorority,ACT-00449254,2026-01-01,1.0000,34.0,33.0,34.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Modus Scotland,ACT-00294748,2026-06-01,70.0000,100.0,30.0,1.429,0,1,1,GENERAL_OVERAGE
"1 Up Tech, LLC",ACT-00014442,2026-03-01,1.0000,27.0,26.0,27.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
"1 Up Tech, LLC",ACT-00014442,2026-04-01,1.0000,27.0,26.0,27.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
"1 Up Tech, LLC",ACT-00014442,2026-06-01,1.0000,27.0,26.0,27.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
"1 Up Tech, LLC",ACT-00014442,2026-05-01,1.0000,27.0,26.0,27.0,0,1,1,LARGE_OVERAGE_POSSIBLE_CONTRACT_FLOOR_OR_TIMING
Better World Tech,ACT-00208525,2026-03-01,38.0000,60.0,22.0,1.579,0,1,1,GENERAL_OVERAGE
Better World Tech,ACT-00208525,2026-06-01,47.0000,69.0,22.0,1.468,0,1,1,GENERAL_OVERAGE
Better World Tech,ACT-00208525,2026-02-01,36.0000,58.0,22.0,1.611,0,1,1,GENERAL_OVERAGE
Better World Tech,ACT-00208525,2026-01-01,32.0000,54.0,22.0,1.688,0,1,1,GENERAL_OVERAGE
Better World Tech,ACT-00208525,2026-05-01,39.0000,61.0,22.0,1.564,0,1,1,GENERAL_OVERAGE
Better World Tech,ACT-00208525,2026-04-01,38.0000,60.0,22.0,1.579,0,1,1,GENERAL_OVERAGE
Networx,ACT-00133156,2026-04-01,59.0000,79.0,20.0,1.339,0,1,1,GENERAL_OVERAGE
Networx,ACT-00133156,2026-06-01,59.0000,79.0,20.0,1.339,0,1,1,GENERAL_OVERAGE
Networx,ACT-00133156,2026-05-01,59.0000,79.0,20.0,1.339,0,1,1,GENERAL_OVERAGE
"Mortgage Tech Assist, LLC",ACT-00286701,2026-03-01,92.0000,107.0,15.0,1.163,0,1,1,GENERAL_OVERAGE
Siligent,ACT-00288641,2026-06-01,18.0000,27.0,9.0,1.5,0,1,1,GENERAL_OVERAGE
TMH Solutions,ACT-00358272,2026-03-01,10.0000,19.0,9.0,1.9,0,1,1,GENERAL_OVERAGE
TMH Solutions,ACT-00358272,2026-04-01,10.0000,19.0,9.0,1.9,0,1,1,GENERAL_OVERAGE
TMH Solutions,ACT-00358272,2026-06-01,10.0000,19.0,9.0,1.9,0,1,1,GENERAL_OVERAGE
TMH Solutions,ACT-00358272,2026-05-01,10.0000,19.0,9.0,1.9,0,1,1,GENERAL_OVERAGE
"Byteworks, LLC",ACT-00019714,2026-05-01,192.0000,200.0,8.0,1.042,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
First Choice Communication Services,ACT-00090363,2026-05-01,26.0000,30.0,4.0,1.154,0,1,1,GENERAL_OVERAGE
First Choice Communication Services,ACT-00090363,2026-06-01,26.0000,30.0,4.0,1.154,0,1,1,GENERAL_OVERAGE
Server Bays LLC,ACT-00118482,2026-05-01,222.0000,225.0,3.0,1.014,0,1,1,GENERAL_OVERAGE
"Byteworks, LLC",ACT-00019714,2026-06-01,197.0000,200.0,3.0,1.015,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
"Mortgage Tech Assist, LLC",ACT-00286701,2026-04-01,105.0000,107.0,2.0,1.019,0,1,1,GENERAL_OVERAGE
Northwest Georgia Housing Authority,ACT-00451313,2026-05-01,64.0000,66.0,2.0,1.031,0,1,1,GENERAL_OVERAGE
Northwest Georgia Housing Authority,ACT-00451313,2026-06-01,64.0000,66.0,2.0,1.031,0,1,1,GENERAL_OVERAGE
Server Bays LLC,ACT-00118482,2026-06-01,223.0000,225.0,2.0,1.009,0,1,1,GENERAL_OVERAGE
Monster Tech IT,ACT-00317747,2026-05-01,24.0000,25.0,1.0,1.042,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Monster Tech IT,ACT-00317747,2026-04-01,24.0000,25.0,1.0,1.042,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Monster Tech IT,ACT-00317747,2026-01-01,24.0000,25.0,1.0,1.042,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Monster Tech IT,ACT-00317747,2026-02-01,24.0000,25.0,1.0,1.042,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
Monster Tech IT,ACT-00317747,2026-03-01,24.0000,25.0,1.0,1.042,1,0,1,BASIC_ONLY_VENDOR_BUT_BILLED_HIGHER_FAMILY
