SF_ID,BILLING_MONTH,PROOFPOINT_PRODUCT,VENDOR_QTY,MAPPING_SOURCES,MATCHED_ZUORA_SKU,ZUORA_QTY
ACT-00059356,2026-01-01,Basic OEM,1.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,50.0
ACT-00061482,2026-01-01,Advanced OEM,12.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00065430,2026-01-01,Basic OEM,11400.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECESS,11400.0
ACT-00086725,2026-01-01,Basic OEM,10.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00133156,2026-01-01,Advanced OEM,57.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,57.0
ACT-00162628,2026-01-01,Basic OEM,395.0000,SCOPED_ZUORA_VALIDATED_OVERRIDE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,207.0
ACT-00208029,2026-01-01,Advanced OEM,22.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00208525,2026-01-01,Advanced OEM,32.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,54.0
ACT-00237872,2026-01-01,Basic OEM,49.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00240125,2026-01-01,Advanced OEM,40.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,175.0
ACT-00246372,2026-01-01,Basic OEM,11.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00265547,2026-01-01,Advanced OEM,352.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,452.0
ACT-00286701,2026-01-01,Advanced OEM,63.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,107.0
ACT-00317747,2026-01-01,Basic OEM,24.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,25.0
ACT-00358272,2026-01-01,Advanced OEM,9.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,9.0
ACT-00383495,2026-01-01,Basic OEM,212.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECESS,415.0
ACT-00413818,2026-01-01,Advanced OEM,137.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECESS,180.0
ACT-00431997,2026-01-01,Advanced OEM,141.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,200.0
ACT-00449000,2026-01-01,Advanced OEM,16.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECESS,60.0
ACT-00449254,2026-01-01,Advanced OEM,1.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,34.0
ACT-00455419,2026-01-01,Advanced OEM,2.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00052393,2026-02-01,Basic OEM,54.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00059356,2026-02-01,Basic OEM,1.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,50.0
ACT-00061482,2026-02-01,Advanced OEM,12.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00065430,2026-02-01,Basic OEM,11400.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECESS,11400.0
ACT-00083139,2026-02-01,Advanced OEM,78.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,138.0
ACT-00086725,2026-02-01,Basic OEM,10.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00133156,2026-02-01,Advanced OEM,58.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,96.0
ACT-00156104,2026-02-01,Advanced OEM,5.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,335.0
ACT-00162628,2026-02-01,Basic OEM,426.0000,SCOPED_ZUORA_VALIDATED_OVERRIDE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,207.0
ACT-00208029,2026-02-01,Basic OEM,21.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
ACT-00208525,2026-02-01,Advanced OEM,36.0000,DYNAMIC_OEM_FAMILY_BRIDGE,CWP-IH-CYBR-OTHR-SAAS-EMSECADV,58.0
ACT-00237872,2026-02-01,Basic OEM,49.0000,DYNAMIC_OEM_FAMILY_BRIDGE,,
