VENDOR,VENDOR_PARTNER_NAME,ROW_COUNT,SF_ID_MISSING_ROWS,DISTINCT_SF_IDS,ABS_AMT_DELTA
Acronis,Turner Teleco - Alexandria LA | Turner Teleco Alexandria,21,0,1,21223.84
Proofpoint,ROCK | IT Consultancy Services,18,0,1,5820.642899999999
KeepIT,ITC Service | Solution ITED,14,0,1,97488.35
KeepIT,EBC Group | Elevity IT,14,0,1,48505.959
Proofpoint,Avaunt Technologies Inc. | cybercity - cybercityinc.com,14,0,1,16622.129999999997
Proofpoint,OnPlatinum | onPlatinum,14,0,1,9808.349520000002
Proofpoint,ServoPlex | Servoplex [23964],14,0,1,1687.75
Acronis,"Dexcore LLC | Dexcore, LLC",14,0,1,287.77
Proofpoint,EBC Group (UK) Ltd | iON | MSP,14,0,1,166.39
SentinelOne,"US-23 || Jersey IT Solutions, LLC DBA Morris Technology Partners",12,0,1,807.57
Proofpoint,NovaTech | Novatech,11,0,1,26690.34
SentinelOne,RUSHAB | Team-40-ai-test,11,11,0,0.0
Acronis,"Prosper IT | Prosper IT, LLC",10,0,1,2227.91
KeepIT,Advanced Innovative IT Solutions (AIIS) | Recover EU,10,0,1,1106.3400000000001
Acronis,N1Discovery LLC | Netsource One Inc,8,0,1,396.12
Auvik,Oryx Align Limited | VIRTUS DATA CENTRES (Oryx Align Ltd),7,0,1,57214.27524
Exium,Scantron Corporation | Scantron HQ Internal,7,0,1,34829.0
Exium,Sharp Europe | Sharp Sweden,7,0,1,10345.5
Proofpoint,Secur-Serv | Secur-Serv - Internal,7,0,1,9790.3
Proofpoint,Velocity  Network | Velocity Network,7,0,1,7919.999999999999
KeepIT,EU_ETERNALS_TEST_PARTNER | Griffin Technology Group,7,0,1,6547.5
KeepIT,"SENSEI ENTERPRISES | Sensei Enterprises, Inc",7,0,1,6277.12
KeepIT,Itek | Itek Systems Management,7,0,1,4926.6536
KeepIT,Danmark Communications | SHIELD Networks Inc,7,0,1,4372.99798
KeepIT,GP computers Limited | Rachis Technology,7,0,1,3141.6
Proofpoint,"DCG Technical Solutions, LLC | DCG Technical Solutions, LLC.",7,0,1,3128.3999999999996
