## jan_jun_rollup
VENDOR_QTY | BILLING_QTY | MATCH_RATE | ABS_VARIANCE | PERFECT_ROWS | NON_PERFECT_ROWS
2361843.0000 | 2341840.0 | 0.9915 | 41073.0 | 4906 | 569

## june_networkx
VENDOR_QUANTITY | BILLING_QUANTITY | QTY_DELTA | INVESTIGATION_BUCKET

## june_cmit
VENDOR_QTY | BILLING_QTY | DELTA | ROW_COUNT | PERFECT_ROWS
 |  |  | 0 | 

## oem_exception_summary
ROW_COUNT | ABS_VARIANCE | PERFECT_ROWS | NON_PERFECT_ROWS
191 | 13255.0 | 9 | 182

## oem_top_exceptions
BILLING_MONTH | FINAL_SF_ID | VENDOR_PARTNER_NAME | PROOFPOINT_PRODUCT | VENDOR_QUANTITY | BILLING_QUANTITY | QTY_DELTA | INVESTIGATION_BUCKET
2026-04-01 | ACT-00192264 | Pearson-Kelly Office Products | Advanced OEM | 6.0000 | 458.0 | 452.0 | D_BILLING_OVER_VENDOR
2026-05-01 | ACT-00192264 | Pearson-Kelly Office Products | Advanced OEM | Basic OEM | 27.0000 | 458.0 | 431.0 | D_BILLING_OVER_VENDOR
2026-06-01 | ACT-00431740 | Founders IT Group | Basic OEM | 521.0000 | 931.0 | 410.0 | D_BILLING_OVER_VENDOR
2026-04-01 | ACT-00431740 | Founders IT Group | Basic OEM | 468.0000 | 878.0 | 410.0 | D_BILLING_OVER_VENDOR
2026-05-01 | ACT-00431740 | Founders IT Group | Basic OEM | 484.0000 | 894.0 | 410.0 | D_BILLING_OVER_VENDOR
2026-02-01 | ACT-00156104 | Inc-Sys | Advanced OEM | 5.0000 | 335.0 | 330.0 | D_BILLING_OVER_VENDOR
2026-06-01 | ACT-00057478 | Merit Technologies, LLC | Advanced OEM | 307.0000 | 0.0 | -307.0 | B_SF_ID_NO_BILLING
2026-06-01 | ACT-00286701 | Mortgage Tech Assist, LLC | Advanced OEM | 144.0000 | 425.0 | 281.0 | D_BILLING_OVER_VENDOR
2026-03-01 | ACT-00209208 | Resultant | Advanced OEM | 260.0000 | 0.0 | -260.0 | B_SF_ID_NO_BILLING
2026-04-01 | ACT-00209208 | Resultant | Basic OEM | 254.0000 | 0.0 | -254.0 | B_SF_ID_NO_BILLING
2026-03-01 | ACT-00316982 | Fortified Solutions | Advanced OEM | 283.0000 | 533.0 | 250.0 | D_BILLING_OVER_VENDOR
2026-06-01 | ACT-00162628 | Rummage Technical | Basic OEM | 433.0000 | 207.0 | -226.0 | E_VENDOR_OVER_BILLING
2026-04-01 | ACT-00162628 | Rummage Technical | Basic OEM | 430.0000 | 207.0 | -223.0 | E_VENDOR_OVER_BILLING
2026-05-01 | ACT-00162628 | Rummage Technical | Basic OEM | 430.0000 | 207.0 | -223.0 | E_VENDOR_OVER_BILLING
2026-02-01 | ACT-00162628 | Rummage Technical | Basic OEM | 426.0000 | 207.0 | -219.0 | E_VENDOR_OVER_BILLING
2026-03-01 | ACT-00162628 | Rummage Technical | Basic OEM | 426.0000 | 207.0 | -219.0 | E_VENDOR_OVER_BILLING
2026-05-01 | ACT-00383495 | P5 Ventures | Basic OEM | 273.0000 | 476.0 | 203.0 | D_BILLING_OVER_VENDOR
2026-01-01 | ACT-00383495 | P5 Ventures | Basic OEM | 212.0000 | 415.0 | 203.0 | D_BILLING_OVER_VENDOR
2026-04-01 | ACT-00383495 | P5 Ventures | Basic OEM | 216.0000 | 419.0 | 203.0 | D_BILLING_OVER_VENDOR
2026-03-01 | ACT-00383495 | P5 Ventures | Basic OEM | 213.0000 | 416.0 | 203.0 | D_BILLING_OVER_VENDOR

