VENDOR,BILLING_MONTH,VENDOR_PARTNER_NAME,USAGE_ROWS,TOTAL_QUANTITY,TOTAL_AMOUNT,EST_DOLLAR_IMPACT,NORMALIZED_KEY
KeepIT,2026-06-01,ConnectWise (Continuum) - Consolidated,7,424741.0,329030.9,329030.9,connectwi e continuum con olidated
KeepIT,2026-05-01,ConnectWise (Continuum) - Consolidated,7,414400.0,312318.35000000003,312318.35000000003,connectwi e continuum con olidated
KeepIT,2026-04-01,ConnectWise (Continuum) - Consolidated,7,410475.0,309023.05000000005,309023.05000000005,connectwi e continuum con olidated
KeepIT,2026-03-01,ConnectWise (Continuum) - Consolidated,7,371374.0,287042.1,287042.1,connectwi e continuum con olidated
KeepIT,2026-02-01,ConnectWise (Continuum) - Consolidated,7,395271.0,276939.25,276939.25,connectwi e continuum con olidated
Acronis,2026-01-01,Computeam,9,420521.61,21850.9642,21850.9642,computeam
Acronis,2026-02-01,Computeam,9,403085.83,21001.572538,21001.572538,computeam
Acronis,2026-03-01,Computeam,9,397057.59,20673.157337,20673.157337,computeam
Acronis,2026-04-01,Computeam,9,350339.56,18610.698311,18610.698311,computeam
Acronis,2026-06-01,Computeam,9,342629.36,18214.743311,18214.743311,computeam
Acronis,2026-05-01,Computeam,9,332990.92,17688.689347,17688.689347,computeam
Acronis,2026-07-01,Computeam,6,330825.05,17350.401904,17350.401904,computeam
Bitdefender,2026-04-01,TruStack Ltd,4,15589.0,15461.2361,15461.2361,tru tack ltd
Bitdefender,2026-05-01,TruStack Ltd,4,14196.0,14212.1318,14212.1318,tru tack ltd
Bitdefender,2026-06-01,TruStack Ltd,4,14235.0,14060.0386,14060.0386,tru tack ltd
Bitdefender,2026-07-01,TruStack Ltd,4,12719.0,12564.9124,12564.9124,tru tack ltd
Bitdefender,2026-08-01,TruStack Ltd,4,11551.0,11585.873,11585.873,tru tack ltd
KeepIT,2026-01-01,"Velocity Network, Inc.",1,14390.0,10792.5,10792.5,velocity network inc
KeepIT,2026-07-01,"Velocity Network, Inc.",1,13781.0,10335.75,10335.75,velocity network inc
Bitdefender,2026-03-01,TruStack Ltd,5,10037.0,10135.3702,10135.3702,tru tack ltd
Bitdefender,2026-06-01,Computeam,3,14642.0,9752.7987,9752.7987,computeam
Bitdefender,2026-05-01,Computeam,2,14393.0,9693.041799999999,9693.041799999999,computeam
Bitdefender,2026-01-01,TruStack Ltd,5,8258.0,9671.6268,9671.6268,tru tack ltd
Bitdefender,2026-02-01,TruStack Ltd,5,8487.0,9636.9305,9636.9305,tru tack ltd
Bitdefender,2026-07-01,Computeam,2,13466.0,8821.0532,8821.0532,computeam
Bitdefender,2026-04-01,Computeam,2,12944.0,8703.340600000001,8703.340600000001,computeam
Bitdefender,2026-01-01,Computeam,3,12399.0,8446.143199999999,8446.143199999999,computeam
Bitdefender,2026-03-01,Computeam,2,12653.0,8372.0883,8372.0883,computeam
Bitdefender,2026-02-01,Computeam,3,12290.0,8341.7656,8341.7656,computeam
Acronis,2026-04-01,Krueger Communications,6,342373.54000000004,7932.518632,7932.518632,krueger communication
Acronis,2026-05-01,Krueger Communications,6,336698.68000000005,7898.712035999999,7898.712035999999,krueger communication
Acronis,2026-07-01,Krueger Communications,6,331427.12,7822.8742,7822.8742,krueger communication
Acronis,2026-06-01,Krueger Communications,6,328069.06,7762.003628,7762.003628,krueger communication
Acronis,2026-03-01,Krueger Communications,6,335848.02,7753.675502,7753.675502,krueger communication
Acronis,2026-01-01,Krueger Communications,6,334478.68,7714.776336,7714.776336,krueger communication
