VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,CenTex Technologies,,ACT-00020861,23856,
Acronis,Dice Communications,,ACT-00234304,,Dice Communications
Acronis,Izzio Artisan Bakery,,ACT-00361841,29308,
Acronis,OneCom Ltd,,ACT-00224155,500001040,
Acronis,F8 Tech LLC,,ACT-00153596,26523,
Acronis,You Must Be Lost,,ACT-00267658,27291,
Acronis,NCS IT Ltd,,ACT-00168414,16009,
Acronis,"IS Consulting Services, LLC",,ACT-00066601,,
Acronis,Vanderbilt Office Properties,,ACT-00296909,27600,
Acronis,InfoTech Maine LLC,,ACT-00196195,25275,
Acronis,AlphaKOR Group Inc,,ACT-00246173,30646,
Acronis,"Xpertechs, LLC",,ACT-00158933,25541,
Acronis,In-Telecom,,ACT-00246692,19794,
Acronis,Tristate IT Inc,,ACT-00036918,22737,
Acronis,Yielder IT & Communication Solutions East B.V.,,ACT-00148072,500000058,
Acronis,"Mtc, Inc",,ACT-00121014,,
Acronis,"Professional Business Systems, Inc - (BAD Tenant)",,ACT-00219320,23634,
Acronis,Netsource One Inc,,ACT-00037128,27795,
Acronis,Nomad Technology Group,,ACT-00161948,28507,
Acronis,"Autokiniton US Holdings, Inc.",,ACT-00361839,29538,
Acronis,SoConnect,,ACT-00163614,24155,
Acronis,PCPLUS NETWORKS1,,ACT-00121227,7224,
Acronis,Trimble Networks Pty Ltd,,ACT-00171731,28502,
Acronis,Desert IT Solutions /1,,ACT-00057174,,
Acronis,Computer FX,,ACT-00160507,,
Acronis,Revolution IT Ltd,,ACT-00149026,20956,
Acronis,IT4ME,,ACT-00008091,33149,
Acronis,m3 Networks Limited,,ACT-00192321,23310,
Acronis,Andrews & Associates IT Solutions,,ACT-00209069,21378,
Acronis,Custom Solutions,,ACT-00180877,-,
Acronis,Bellwether Technology Corporation,,ACT-00246770,24731,
Acronis,Nuvex Solutions,,ACT-00188402,26906,
Acronis,Netmatters,,ACT-00186829,500000072,
Acronis,ARGO-TECH Solutions Inc.,,ACT-00246643,20671,
Acronis,Blue Technologies Smart Solutions Inc.,,ACT-00168475,11915,
Acronis,Ashbury,,ACT-00288321,26077,
Acronis,MCS,,ACT-00151729,21528,
Acronis,"Xpertechs, LLC",,ACT-00158933,32597,Pax8
Acronis,Computer FX,,ACT-00160507,28731,
Acronis,AMS Retail Solutions,,ACT-00157004,,
Acronis,Technology on Premise,,ACT-00133107,,
Acronis,SZS Consulting,,ACT-00077485,33480,
Acronis,"Backroom IT, LLC",,ACT-00124060,-,
Acronis,"CMIT Solutions of Oak Park, Hinsdale and Oak Brook - 887,107",,ACT-00240756,17443,
Acronis,Network Utilities,,ACT-00156122,27217,
Acronis,Keystone Information Technology,,ACT-00103890,21354,
Acronis,ProCom,,ACT-00336855,,ProCom
Acronis,Axiom,,ACT-00289993,,
Acronis,ROCC Computers Ltd,,ACT-00039411,500000508,
Acronis,Smart Pro Technologies LLC,,ACT-00070255,24762,
Acronis,Network Design Systems,,ACT-00132533,,
Acronis,Acuity Network Services,,ACT-00109488,28859,
Acronis,"Rapid Domains, Inc. OLD",,ACT-00196486,24768,
Acronis,Baltnetos Komunikacijos,,ACT-00116583,,
Acronis,Krueger Communications,,ACT-00140142,25287,
Acronis,Homeport Electronics,,ACT-00240097,,
Acronis,BrainWave Computers,,ACT-00270754,,
Acronis,LifeBrite Hosptial Group,,ACT-00183759,-,
Acronis,Axiom,,ACT-00289993,32292,
Acronis,Veerman ICT Services BV,,ACT-00118063,23483,
Acronis,Prefix Technologies,,ACT-00207844,28288,
Acronis,Pure Technology /1,Ingram Micro,ACT-00151751,24338,
Acronis,"1 Up Tech, LLC",,ACT-00014442,21077,
Acronis,Decision Logic,,ACT-00175613,9481,
Acronis,KAB Computer Services LLC,,ACT-00074333,28550,
Acronis,Total Group International Ltd.,,ACT-00149039,16023,
Acronis,Aktiebolaget XREF Stockholm,,ACT-00004104,,
Acronis,BulletProof Systems,,ACT-00150133,24058,
Acronis,Carter Computer Consulting,,ACT-00099032,-,
Acronis,Virtual World Technologies,,ACT-00147828,28593,
Acronis,Secur3IT,,ACT-00061839,20822,
Acronis,Zenzero Solutions Ltd,,ACT-00020131,24187,
Acronis,HCITSP,,ACT-00288784,26714,
Acronis,Cirroform LLC,,ACT-00268581,27955,
Acronis,Data Fast Solutions,,ACT-00021247,24897,
Acronis,SHARKTOOTH NETWORKS INC,Ingram Micro,ACT-00153605,32232,
Acronis,Keystone,,ACT-00048610,22697,
Acronis,Trahan Computer Tech,,ACT-00073070,24127,
Acronis,Custom Wirth LLC,,ACT-00180877,,Custom Solutions
Acronis,Red Mosquito Ltd,,ACT-00170291,25309,
Acronis,Computer Ally,,ACT-00361706,29848,
Acronis,Titan Technology Partners,,ACT-00291628,26890,
Acronis,Binyod LLC,,ACT-00091572,24631,
Acronis,"CMIT Solutions of Oak Park, Hinsdale and Oak Brook - 887,107",CMIT Headquarters,ACT-00240756,17443,
Acronis,ThrottleNet Inc,,ACT-00230196,25808,
Acronis,JWS Solutions,,ACT-00084813,-,
Acronis,SatCom & Computers,,ACT-00060044,21371,
Acronis,Proven Business Systems /1,,ACT-00058165,26933,
Acronis,Filconet,,ACT-00171699,28412,
Acronis,Northern Computer,,ACT-00229712,26124,
Acronis,USWired Inc.,,ACT-00071726,21132,
Acronis,CMIT South Brevard 179,CMIT Headquarters,ACT-00245679,592,
Acronis,Vulcan Business Solutions LLC,,ACT-00151784,20989,
Acronis,Bitswift Technology Solutions,,ACT-00182763,25897,
Acronis,J&S Advanced I.T.,,ACT-00125530,15229,
Acronis,MYComputing Inc.,,ACT-00259296,30547,
Acronis,Blackleaf Solutions LLC,,ACT-00025627,,
Acronis,Infinity Group,,ACT-00064853,27054,
Acronis,Semsoft,,ACT-00286185,25061,
Acronis,HostFaddy,,ACT-00291473,500000440,
Acronis,Tech Solution,,ACT-00225398,,Technitrick
Acronis,"Higher Ground Technologies, Inc.",,ACT-00040717,23795,
Acronis,"Gray Wolf Information Technologies, Inc.",,ACT-00046473,-,
Acronis,Business Computer Solutions,,ACT-00015430,22808,
Acronis,Computer FX,,ACT-00160507,-,
Acronis,Baltnetos Komunikacijos,,ACT-00116583,22928,
Acronis,Commercial Networks LTD,,ACT-00107189,500001162,
Acronis,BCIT Solutions,,ACT-00267798,24248,
Acronis,CoreTrek AS,,ACT-00217354,500000673,
Acronis,Cyberlink ASP Technology LLC (Avitus Tech),,ACT-00051086,23059,
Acronis,Today's Business Computers Inc,,ACT-00045351,32815,
Acronis,Aufsite,,ACT-00295874,27089,
Acronis,iwerk,,ACT-00052393,25498,
Acronis,Nutmeg Technologies,,ACT-00042280,25088,
Acronis,N1Discovery LLC,,ACT-00037128,27795,
Acronis,IT Kauai Inc,,ACT-00033691,26895,
Acronis,Harwood International Corp.,,ACT-00067264,21194,
Acronis,Network Design Systems,,ACT-00132533,-,
Acronis,Jilasoan,,ACT-00035439,27594,
Acronis,Rx Technology,,ACT-00246798,,
Acronis,Arthur Allen Technology,,ACT-00252151,28469,
Acronis,RAD Group,,ACT-00048901,500000723,
Acronis,VIcom Virginia Integrated Communications,,ACT-00187986,-,
Acronis,SR Technologies,,ACT-00268951,29810,
Acronis,"Envision Technology Advisors, LLC",,ACT-00016529,,
Acronis,"WDCS, Inc.",,ACT-00188908,,
Acronis,CMIT South Brevard 179,,ACT-00245679,,
Acronis,Myriad Technologies Services Pty Ltd,,ACT-00093598,22996,
Acronis,Techton Consulting LLC,,ACT-00264694,23953,
Acronis,"International Micro Systems, Inc.",,ACT-00037816,-,
Acronis,CyberPrairie,,ACT-00153622,453,
Acronis,Carmichael Consulting Solutions,,ACT-00069316,27582,
Acronis,Micro Computer Consulting Inc.,,ACT-00239637,,
Acronis,Advanced Hospitality Technologies,,ACT-00195588,,Advanced Systems
Acronis,LP Techs LLC,,ACT-00317711,27992,
Acronis,Dialysis Care Center,,ACT-00149113,27680,
Acronis,BrainWave Computers,,ACT-00270754,-,
Acronis,PA Computer Connections,,ACT-00060766,5112,
Acronis,ArgoNet,,ACT-00170095,,
Acronis,CSI,,ACT-00141389,3242,
Acronis,Carter Computer Consulting,,ACT-00099032,,
Acronis,ThreatAdvice,,ACT-00118650,32122,
Acronis,Digital Office Systems Inc,,ACT-00189721,11631,
Acronis,Network & Security,,ACT-00083687,24571,
Acronis,Oryx Align,,ACT-00188468,500001120,
Acronis,Community Alternatives,,ACT-00013043,28494,
Acronis,PDC Wellness,Minerva Computers,ACT-00267799,,
Acronis,"Pruitt Communications, Inc.",,ACT-00205450,28138,
Acronis,Network Connections Inc (NCI),,ACT-00266244,24480,
Acronis,Commercial Networks LTD,,ACT-00107189,22719,
Acronis,GEM Technologies Inc,,ACT-00148300,14529,
Acronis,Elevity IT,,ACT-00238028,10330,
Acronis,Eugenius,,ACT-00084733,28975,
Acronis,TCT Federal Credit Union,,ACT-00263207,-,
Acronis,"Strong Connexions, Inc.",,ACT-00245565,,
Acronis,"Midwest Computing Group, Inc.",,ACT-00066411,26098,
Acronis,Netbox Managed IT Services,,ACT-00079016,500000659,
Acronis,Intricate Networks,,ACT-00249585,26133,
Acronis,Flex IT Solutions,,ACT-00202184,20742,
